gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
igf1,0.80409353565481,0.750004336735238,0.862083567271557,1.028980155e-07,0.82004409892937,0.0002075921614055,maior sobrevida (protetor),True,0.21803967869078
stat5a,0.80712018362192,0.759187195353284,0.858079528734329,1.685887e-09,0.752997079589221,1.1310113e-09,maior sobrevida (protetor),True,0.21428269537941252
spry2,0.809747801858581,0.759021403005426,0.863864312677512,2.64216737e-08,0.863475257943846,0.0035769898288472,maior sobrevida (protetor),True,0.21103243552705844
cdkn2c,0.81506424673563,0.759973871104346,0.874148114252084,4.999598639e-07,0.873750294608548,0.0121114467628379,maior sobrevida (protetor),True,0.20448833849775683
gsk3b,1.2248866488133,1.1587775593845,1.29476730912706,3.782836e-10,1.32582061418178,6.68195889975526e-12,menor sobrevida (risco),True,0.20284830813439977
flt3,0.819832928570812,0.767249768035087,0.876019855294706,2.605187646e-07,0.791635412751952,6.8324545963e-06,maior sobrevida (protetor),True,0.1986547051281532
abcb1,0.821682435024062,0.770195100398744,0.876611684075279,2.605187646e-07,0.875297028415388,0.0085159596191023,maior sobrevida (protetor),True,0.19640129065893977
lama2,0.836019289234385,0.78757278023376,0.887445921841682,2.605187646e-07,0.85503485776725,0.0008810094747757,maior sobrevida (protetor),True,0.17910359291674674
stat5b,0.838352623752956,0.789452827075509,0.890281341264032,4.845895063e-07,0.743845060909429,5.5023024787031594e-11,maior sobrevida (protetor),True,0.17631647494024144
aurka,1.19059639798958,1.12337575901865,1.26183939036042,2.605187646e-07,1.45804285375802,1.47245693831563e-20,menor sobrevida (risco),True,0.1744543563584623
pdgfra,0.843659709865771,0.795542234182723,0.894687516850697,6.202411816e-07,0.944969673698399,0.297566057389934,maior sobrevida (protetor),True,0.17000605305088928
ccnd2,0.845948426489695,0.796265993838513,0.898730758085751,2.2731691452e-06,0.897762229275571,0.0319405681838698,maior sobrevida (protetor),True,0.16729688283025254
kit,0.846375388812785,0.793721792258563,0.902521898447049,1.09645940866e-05,0.907796322116493,0.070830667161423,maior sobrevida (protetor),True,0.1667922957904813
bcl2,0.848651657435112,0.798322775155193,0.902153437282751,5.0011128991e-06,0.723214939075348,3.79507143097944e-13,maior sobrevida (protetor),True,0.16410647435097864
rps6,0.854598681204659,0.807976949213905,0.903910571492544,1.6419321173e-06,0.882126649556573,0.0061370949541054,maior sobrevida (protetor),True,0.15712329894604654
vegfa,1.16458886853576,1.09984047363737,1.23314904772689,5.8128351936e-06,1.20854838095557,6.8324545963e-06,menor sobrevida (risco),True,0.15236812218849483
jak2,0.858787331360974,0.807630393829366,0.913184652461115,3.2186253492e-05,0.865751253004587,0.0030857903162166,maior sobrevida (protetor),True,0.15223396464549904
fancd2,1.16278654745772,1.09619884514148,1.23341906529206,1.5441311254e-05,1.32255207401863,3.1411225004628e-11,menor sobrevida (risco),True,0.1508193205418532
lifr,0.860912112408184,0.805744069559976,0.919857425318538,0.0001900272630447,0.859508666214587,0.0041295031807841,maior sobrevida (protetor),True,0.14976285594550515
diras3,0.861929299350424,0.804016458645068,0.92401356849173,0.0005002635476213,0.725610168194975,6.092028374e-07,maior sobrevida (protetor),True,0.14858203099726533
cir1,0.862804220736532,0.811773014358753,0.917043447063618,5.1235264135e-05,0.829227711311309,7.30280211247e-05,maior sobrevida (protetor),True,0.14756747257306033
kras,1.15301206843197,1.08644864585104,1.2236536305942,6.27266663571e-05,1.19859022127484,4.3454568927e-05,menor sobrevida (risco),True,0.14237770821563872
e2f7,1.1478474004887,1.08443478151925,1.21496808960961,5.09308374943e-05,1.27642306820498,7.204862e-10,menor sobrevida (risco),True,0.13788836265830592
cyp11a1,0.87225315976645,0.816844350687797,0.931420501447955,0.0006835183834838,0.885639491081803,0.0236707518894523,maior sobrevida (protetor),True,0.1366755763750107
lamb3,0.872326528490745,0.820315525219307,0.927635219515415,0.0002604379330667,0.943808971983181,0.300957102262112,maior sobrevida (protetor),True,0.13659146588715845
syne1,0.873615510093337,0.819784137681609,0.930981735794524,0.0005099835318473,0.902841143670735,0.0561219011441002,maior sobrevida (protetor),True,0.13511491992137992
tubb4b,1.14418667086602,1.07815471179348,1.21426278016234,0.0001900272630447,1.22658596984959,4.3284116755e-06,menor sobrevida (risco),True,0.13469405348013772
fas,0.874553610020008,0.81949518893569,0.933311173909832,0.0007190153717302,0.934172014628194,0.227431513100232,maior sobrevida (protetor),True,0.13404168277753306
slc19a1,1.14206130724165,1.0784461073269,1.20942903000636,0.000123517776223,1.23876425007432,2.75838771e-07,menor sobrevida (risco),True,0.13283479389239708
rdh5,0.87743822084636,0.82144821166005,0.937244515812083,0.0012132527013006,0.877224028150689,0.0149915469965872,maior sobrevida (protetor),True,0.13074872971445722
mmp11,1.13423080821744,1.06703433915953,1.20565897375235,0.0007190153717302,1.16197300440206,0.0020041633721985,menor sobrevida (risco),True,0.12595471917848752
ctcf,1.13237918027978,1.06819053877463,1.20042498167235,0.0005012060684855,1.16644271278146,0.0007949634101398,menor sobrevida (risco),True,0.12432088860423639
rps6kb2,1.1308322366223,1.0675398010718,1.1978771621445,0.0005002635476213,1.23178330102957,1.2521004844e-06,menor sobrevida (risco),True,0.12295385423278031
maml1,1.12873144080997,1.06329409398177,1.19819593909528,0.0008859891396462,1.14178097770643,0.0053612459039302,menor sobrevida (risco),True,0.12109438336357942
ptpn22,0.886418972550649,0.831585978203086,0.944867536842786,0.0021032913240188,0.953041124560588,0.41827896892963,maior sobrevida (protetor),True,0.12056555916735863
nfkb1,0.886527389402915,0.836410444707645,0.939647295337468,0.0007190153717302,0.86773803790634,0.0019702215854999,maior sobrevida (protetor),True,0.12044325783357028
ccnb1,1.12777384252724,1.06387741938905,1.19550788155561,0.0007190153717302,1.28121453797246,3.27288e-09,menor sobrevida (risco),True,0.12024563876077564
mmp25,0.887704652281163,0.833577959006034,0.945345952550453,0.0020605270224464,0.905318991413013,0.0666267106299749,maior sobrevida (protetor),True,0.11911619009568342
eif4ebp1,1.12624152349503,1.06376051825437,1.1923924111471,0.0006835183834838,1.23059810859768,1.335844582e-07,menor sobrevida (risco),True,0.11888600360356842
ncoa3,1.12591072891609,1.06289822076428,1.19265884985379,0.0007190153717302,1.2141708154872,5.8797304298e-06,menor sobrevida (risco),True,0.11859224497249471
hsd17b11,0.88846668443872,0.838479736767224,0.941433662310047,0.00080596320126,0.953406429565702,0.402250697639501,maior sobrevida (protetor),True,0.11825812850155888
wwox,1.1243852018467,1.0660583221508,1.1859032999069,0.0003020662008792,1.06044044040199,0.248690119455462,menor sobrevida (risco),True,0.11723639903042508
pdpk1,1.12400217072887,1.0595052633037,1.192425298449,0.0012307993271284,1.00606861913856,0.947180243150101,menor sobrevida (risco),True,0.11689568272307761
e2f2,1.12186372193316,1.05939162386564,1.18801978629704,0.0010232305729389,1.30951321836033,5.5023024787031594e-11,menor sobrevida (risco),True,0.11499133977102685
nr3c1,0.891752996443533,0.839106736738973,0.947702326591373,0.0021496112156858,0.878522852016482,0.0080518571640798,maior sobrevida (protetor),True,0.11456609456539718
raf1,1.12042466328857,1.05587681097271,1.18891845436859,0.0018766206346562,1.17808014661153,0.0002322929477275,menor sobrevida (risco),True,0.1137077770931401
akr1c3,0.893378624420042,0.838971072167097,0.951314524479438,0.0036200647255346,0.911081440362656,0.083667388444656,maior sobrevida (protetor),True,0.11274479645283514
