gene,HR_os,ic_inf,ic_sup,fdr_os,HR_dss,fdr_dss,direcao,significativo_os,forca
gsk3b,1.2248866488133,1.1587775593845,1.29476730912706,3.782836e-10,1.32582061418178,6.68195889975526e-12,menor sobrevida (risco),True,0.20284830813439977
aurka,1.19059639798958,1.12337575901865,1.26183939036042,2.605187646e-07,1.45804285375802,1.47245693831563e-20,menor sobrevida (risco),True,0.1744543563584623
vegfa,1.16458886853576,1.09984047363737,1.23314904772689,5.8128351936e-06,1.20854838095557,6.8324545963e-06,menor sobrevida (risco),True,0.15236812218849483
fancd2,1.16278654745772,1.09619884514148,1.23341906529206,1.5441311254e-05,1.32255207401863,3.1411225004628e-11,menor sobrevida (risco),True,0.1508193205418532
kras,1.15301206843197,1.08644864585104,1.2236536305942,6.27266663571e-05,1.19859022127484,4.3454568927e-05,menor sobrevida (risco),True,0.14237770821563872
e2f7,1.1478474004887,1.08443478151925,1.21496808960961,5.09308374943e-05,1.27642306820498,7.204862e-10,menor sobrevida (risco),True,0.13788836265830592
tubb4b,1.14418667086602,1.07815471179348,1.21426278016234,0.0001900272630447,1.22658596984959,4.3284116755e-06,menor sobrevida (risco),True,0.13469405348013772
slc19a1,1.14206130724165,1.0784461073269,1.20942903000636,0.000123517776223,1.23876425007432,2.75838771e-07,menor sobrevida (risco),True,0.13283479389239708
mmp11,1.13423080821744,1.06703433915953,1.20565897375235,0.0007190153717302,1.16197300440206,0.0020041633721985,menor sobrevida (risco),True,0.12595471917848752
ctcf,1.13237918027978,1.06819053877463,1.20042498167235,0.0005012060684855,1.16644271278146,0.0007949634101398,menor sobrevida (risco),True,0.12432088860423639
rps6kb2,1.1308322366223,1.0675398010718,1.1978771621445,0.0005002635476213,1.23178330102957,1.2521004844e-06,menor sobrevida (risco),True,0.12295385423278031
maml1,1.12873144080997,1.06329409398177,1.19819593909528,0.0008859891396462,1.14178097770643,0.0053612459039302,menor sobrevida (risco),True,0.12109438336357942
ccnb1,1.12777384252724,1.06387741938905,1.19550788155561,0.0007190153717302,1.28121453797246,3.27288e-09,menor sobrevida (risco),True,0.12024563876077564
eif4ebp1,1.12624152349503,1.06376051825437,1.1923924111471,0.0006835183834838,1.23059810859768,1.335844582e-07,menor sobrevida (risco),True,0.11888600360356842
ncoa3,1.12591072891609,1.06289822076428,1.19265884985379,0.0007190153717302,1.2141708154872,5.8797304298e-06,menor sobrevida (risco),True,0.11859224497249471
wwox,1.1243852018467,1.0660583221508,1.1859032999069,0.0003020662008792,1.06044044040199,0.248690119455462,menor sobrevida (risco),True,0.11723639903042508
pdpk1,1.12400217072887,1.0595052633037,1.192425298449,0.0012307993271284,1.00606861913856,0.947180243150101,menor sobrevida (risco),True,0.11689568272307761
e2f2,1.12186372193316,1.05939162386564,1.18801978629704,0.0010232305729389,1.30951321836033,5.5023024787031594e-11,menor sobrevida (risco),True,0.11499133977102685
raf1,1.12042466328857,1.05587681097271,1.18891845436859,0.0018766206346562,1.17808014661153,0.0002322929477275,menor sobrevida (risco),True,0.1137077770931401
cdk2,1.11901509635687,1.05496388907705,1.18695511651122,0.0019000064630088,1.22050439361451,4.0048770175e-06,menor sobrevida (risco),True,0.11244892017432691
