tratamento,estrato,gene,HR,ic_inf,ic_sup,p,n,eventos,fdr
hormone_therapy,tratado,gsk3b,1.266985478582597,1.17942405695631,1.361047532879547,9.389787775091234e-11,1170,691,1.3521294396131377e-09
hormone_therapy,tratado,stat5a,0.7963135807352594,0.7342071095047678,0.863673629217687,3.852586239014261e-08,1170,691,2.0952702684954534e-07
hormone_therapy,tratado,aurka,1.2159362492993997,1.1271085036975919,1.3117645351001455,4.3835025449145034e-07,1170,691,1.856542254316731e-06
hormone_therapy,tratado,vegfa,1.2537683004465285,1.1604974068585014,1.3545355137499604,9.819065388413997e-09,1170,691,6.021280178362495e-08
hormone_therapy,tratado,bcl2,0.8897232482057357,0.8168710008629522,0.9690727881899366,0.007346474480794692,1170,691,0.011498829622113432
hormone_therapy,tratado,spry2,0.7543167123892061,0.6947223130109292,0.819023215367359,1.8880696006531697e-11,1170,691,4.37648244923839e-10
hormone_therapy,tratado,igf1,0.7519707518804539,0.6894802650721483,0.8201250134758891,1.197198566324874e-10,1170,691,1.4366382795898488e-09
hormone_therapy,tratado,abcb1,0.8102764799605184,0.7453875734105125,0.8808142198738039,7.817546540084988e-07,1170,691,2.962438688874311e-06
hormone_therapy,tratado,flt3,0.8317521982996388,0.7656994433724406,0.9035029675994951,1.2793510977425692e-05,1170,691,4.1869672289756805e-05
hormone_therapy,tratado,cdkn2c,0.7704878767701605,0.7071699351084153,0.8394751229897495,2.5338067723727707e-09,1170,691,1.824340876108395e-08
hormone_therapy,tratado,pdgfra,0.7821228252799606,0.727694409104671,0.840622253201782,2.431379138465772e-11,1170,691,4.37648244923839e-10
hormone_therapy,tratado,erbb2,1.0534438255654444,0.9679122347233544,1.1465335944835349,0.2281704010833278,1170,691,0.2566917012187438
hormone_therapy,tratado,mapt,0.9156657741548696,0.8426955986578337,0.9949545379067259,0.03758577952771414,1170,691,0.04918745252433436
hormone_therapy,tratado,ar,1.1916201113594997,1.090172148663898,1.3025084997233791,0.00011259221665218382,1170,691,0.0003117938307291244
hormone_therapy,tratado,tubb4a,0.9880702748164012,0.9184344608674307,1.06298588475621,0.7475604455136341,1170,691,0.758089465872981
hormone_therapy,tratado,nrip1,0.9402007370767205,0.8702785259313448,1.0157408228056684,0.11785104594072468,1170,691,0.1391028738972488
hormone_therapy,tratado,ncoa3,1.1369919123886225,1.0577240250801827,1.2222002887181633,0.0004976922641544806,1170,691,0.0011559304199716969
hormone_therapy,tratado,jak2,0.8782858772297369,0.8108178199002971,0.9513679438323922,0.0014602823004427952,1170,691,0.0025643981861434456
hormone_therapy,nao tratado,gsk3b,1.2224809394645395,1.1189008340921018,1.3356497750461838,8.705677887934355e-06,727,407,2.9848038472917787e-05
hormone_therapy,nao tratado,stat5a,0.8278179625659856,0.752830676603359,0.9102745151655818,9.601606833467286e-05,727,407,0.00027652627680385786
hormone_therapy,nao tratado,aurka,1.1754799872466914,1.072489529193246,1.28836055066838,0.0005485674332925326,727,407,0.0011616722116783043
hormone_therapy,nao tratado,vegfa,1.134376327179593,1.037481122188125,1.240321027674687,0.005645749522265446,727,407,0.009033199235624715
hormone_therapy,nao tratado,bcl2,0.7827897312455161,0.7139052717458442,0.8583208271384981,1.8812627296133433e-07,727,407,8.465682283260046e-07
hormone_therapy,nao tratado,spry2,0.928463679654357,0.8359860709757849,1.0311712531658659,0.1655774902350457,727,407,0.1892314174114808
hormone_therapy,nao tratado,igf1,0.8741148650410054,0.7760718818356547,0.9845438485393552,0.026651055227959713,727,407,0.03916073421251223
hormone_therapy,nao tratado,abcb1,0.8476527165407043,0.7649667710859619,0.9392762601162628,0.0015982227602582893,727,407,0.002739810446157067
hormone_therapy,nao tratado,flt3,0.7912076370205604,0.7070040732740879,0.8854397712033697,4.518137598213159e-05,727,407,0.00013554412794639477
hormone_therapy,nao tratado,cdkn2c,0.8728142127554274,0.7704094127975473,0.9888309220179116,0.03265019662339625,727,407,0.04609439523303
hormone_therapy,nao tratado,pdgfra,0.9624561685337258,0.8707862738556535,1.063776387111692,0.45366104034473864,727,407,0.48034698389442915
hormone_therapy,nao tratado,erbb2,1.190105713374295,1.0878381473409067,1.3019874440588848,0.0001467421682161875,727,407,0.0003913124485765
hormone_therapy,nao tratado,mapt,0.8509076249762145,0.7765911215120415,0.932335905196716,0.0005351150079975789,727,407,0.0011616722116783043
hormone_therapy,nao tratado,ar,1.0240451039636256,0.9386861266180102,1.1171661593957047,0.5925997544155506,727,407,0.6183649611292701
hormone_therapy,nao tratado,tubb4a,1.0985062788770448,1.0069585827904686,1.1983770388929584,0.03433154037982844,727,407,0.04663907372354052
hormone_therapy,nao tratado,nrip1,0.8477983638491569,0.7739509854695854,0.928691970473049,0.0003838245995201971,727,407,0.000921179038848473
hormone_therapy,nao tratado,ncoa3,1.1128841097332929,1.0116400092888351,1.224260636515864,0.027965655710218522,727,407,0.04027054422271467
