gene,importancia_gini,posicao
gata3,0.023100176722781727,1
egfr,0.01982071798204428,2
cdk1,0.01981658602062556,3
aurka,0.01976131628783314,4
mapt,0.014636439710678479,5
igf1r,0.012945326300866436,6
ccne1,0.012674356992902494,7
cdc25a,0.012323739001129982,8
chek1,0.012221492087250643,9
e2f2,0.010802283139627078,10
bcl2,0.01021941953671677,11
erbb3,0.009099239584349696,12
e2f7,0.00898406218179809,13
tgfbr2,0.008869974846009224,14
ccnb1,0.008782384267001694,15
fancd2,0.008353359846634045,16
erbb2,0.007969644708535352,17
ar,0.007320920634774581,18
aph1b,0.0071950177848807105,19
ttyh1,0.00709054720672706,20
folr2,0.0070303583098067085,21
csf1r,0.006711632279041067,22
mmp7,0.006661866688125052,23
cdk6,0.006580205392656478,24
lamb3,0.006469786579111067,25
rad51,0.005895633957377128,26
tgfb3,0.005862782318566276,27
acvrl1,0.005769371644772172,28
abcb1,0.005667642454364115,29
hsd17b2,0.005575650803460963,30
adgra2,0.005478463911477195,31
ccnd2,0.005476705957835201,32
lama2,0.005308885650952704,33
notch1,0.005190426755548416,34
srd5a1,0.005177207772797581,35
e2f3,0.005166555165796139,36
nr2f1,0.005162606559087584,37
klrg1,0.005096887443835832,38
rab25,0.004997046583787738,39
cyb5a,0.004978073033443085,40
folr1,0.004793761725088335,41
kit,0.00478463189186003,42
plagl1,0.004545322624564598,43
npnt,0.004457723677361436,44
lfng,0.004373314613992327,45
brca1,0.004285241228782499,46
hsd17b11,0.004241355966992193,47
hsd17b4,0.00422721771577527,48
mapk1,0.004090104738535567,49
spry2,0.004063294591587672,50
cdkn2a,0.004012744000271309,51
map2,0.0037266545437607524,52
rbpj,0.00358780572890634,53
e2f4,0.003534319158825943,54
bmpr1b,0.0034967041968339213,55
cyp21a2,0.0034004199057715945,56
frmd3,0.0033777439555215476,57
foxo1,0.003286292955565783,58
bmp2,0.0032195157617312554,59
ccnd1,0.0031525904594637095,60
runx1,0.0030839990687366696,61
nrip1,0.0030733798414210476,62
cdk2,0.002983917361404896,63
stat5b,0.0029542925654288503,64
nt5e,0.0029366197607441314,65
rps6ka2,0.002882970854448722,66
hes6,0.0028559921947177345,67
gsk3b,0.0027140679350951373,68
arid5b,0.0026873811967867566,69
arrdc1,0.0026858117135048895,70
akt1,0.002663970023521924,71
tgfbr3,0.0026415668470543495,72
sox9,0.0026399750737854445,73
pik3r1,0.002630139315717713,74
smad4,0.0025792881448596086,75
mmp15,0.002569727821496059,76
cbfb,0.002569371603594701,77
myc,0.0025602436366763417,78
nras,0.002531860372152032,79
rad51c,0.0025299688312773027,80
msh6,0.002527122822330544,81
dtx2,0.002514925521114157,82
ahnak,0.002492095740250583,83
diras3,0.0024858624377735745,84
map3k5,0.002456518175080732,85
mmp9,0.0024108398513481167,86
map2k3,0.002401869121419489,87
mtap,0.002394675607265597,88
ncoa3,0.002368455956549405,89
nr3c1,0.002343380596290208,90
acvr1b,0.002337356332028273,91
hsd17b8,0.002312267033567583,92
dab2,0.0022685905060486015,93
bcl2l1,0.0022556300810475747,94
dtx3,0.0022347718318590907,95
slc19a1,0.0022340836373370755,96
cyp11a1,0.002212133610294957,97
map2k1,0.00215509603852034,98
mmp1,0.0021468709114970596,99
serpini1,0.002120052974539819,100
bmp4,0.002119029557816783,101
mmp12,0.0020734431142430134,102
rbl1,0.002052973113804336,103
psenen,0.0020362714453278645,104
fam20c,0.00200268654689134,105
akr1c3,0.001986750870244582,106
rps6kb1,0.0019782194912695518,107
pdgfra,0.0019679117258611634,108
jag1,0.0019489703575515846,109
stat1,0.0019360386881846672,110
twist1,0.0019326183733126914,111
maml2,0.0019234942940093305,112
e2f8,0.0019138624697749664,113
hras,0.0018915197155553402,114
cdkn2c,0.0018821021208270804,115
arid2,0.0018773564571326045,116
ppp2r2a,0.0018620609671873537,117
prkcz,0.0018451961270595507,118
flt3,0.001840434688792892,119
ugt2b7,0.0018361361027673052,120
hes1,0.0018204805268250282,121
pdgfrb,0.0018042284809876798,122
psen2,0.0017875904762353213,123
map3k1,0.0017859994994367892,124
vegfa,0.0017671922309875265,125
rps6ka1,0.0017448334469889225,126
rheb,0.00173769318522223,127
abcc10,0.0017362605112447422,128
pde4dip,0.0017302941445621618,129
sdc4,0.0017299943939671186,130
jak2,0.0017250102990604304,131
foxo3,0.0017242678630270893,132
ldlrap1,0.0017178376300990446,133
chek2,0.0017028544868259155,134
braf,0.0017023570564580336,135
col6a3,0.001685691078691054,136
bmp6,0.0016842264889333069,137
muc16,0.0016800108519852677,138
nfkb1,0.0016775084215481086,139
stab2,0.0016681905471603673,140
rps6kb2,0.001650497260487032,141
shank2,0.0016500044220162527,142
notch3,0.0016450814490192123,143
ccnd3,0.0016389397969108555,144
stat5a,0.0016368086334216574,145
hsd17b7,0.0016319381446317505,146
cdk4,0.0016291984953677975,147
jak1,0.0016183670367965134,148
fgf2,0.0016070098452952103,149
fn1,0.0016044520541659431,150
setd1a,0.0016032337521532727,151
mmp11,0.0015937725510901135,152
ackr3,0.001579399643343578,153
fas,0.0015793795592507517,154
ptpn22,0.0015781781821217957,155
akr1c4,0.0015519718668345894,156
bard1,0.0015498390519629414,157
ddc,0.0015474294898585531,158
bad,0.001547136734719568,159
e2f5,0.001546734354080794,160
igf1,0.0015382506487468096,161
ctnna1,0.0015381088866641113,162
tp53bp1,0.0015272004723314325,163
akr1c2,0.0015264487599991412,164
eif4ebp1,0.0015218854765415562,165
hey2,0.0015112059015454505,166
met,0.001500221880868499,167
map2k4,0.0014977706259002963,168
mmp10,0.0014963505817372443,169
rpgr,0.0014824827754067523,170
mapk9,0.0014770811313418767,171
cacna2d3,0.00147256011024121,172
tubb4b,0.0014719403059477245,173
alk,0.0014703250615544507,174
cdh1,0.0014663092277511333,175
st7,0.0014643534830420131,176
mmp2,0.0014626305672030932,177
tbx3,0.0014624387995719626,178
hsd17b6,0.0014398633229875965,179
taf4b,0.0014321405874685928,180
peg3,0.001431435108882796,181
smad7,0.0014261005870481224,182
stat3,0.0014249714140478539,183
map3k13,0.0014216827253405206,184
ran,0.0014155547025928533,185
dll1,0.0014093469152161445,186
pten,0.0014032425898654283,187
setdb1,0.0013972168438490028,188
mmp28,0.0013944247095539868,189
jag2,0.0013921239369663466,190
hsd17b10,0.0013880589944802524,191
pdgfb,0.0013785664355345215,192
col22a1,0.0013613626730112024,193
hes4,0.00135928935473548,194
ptk2,0.0013554065503224098,195
map3k3,0.0013496072483784821,196
pik3r2,0.001349179635793331,197
col12a1,0.001346471086924288,198
mapk4,0.0013446427608312759,199
rdh5,0.0013432950279070432,200
ncstn,0.001338887072132211,201
stat2,0.0013348994585882959,202
sptbn1,0.0013325109089062114,203
mmp3,0.0013279874715523717,204
spen,0.0013261659129332195,205
terc,0.0013256471315745337,206
tubb1,0.0013174942475457823,207
casp6,0.0013159499333704992,208
adam17,0.0013148898225487878,209
hif1a,0.0013071968196105657,210
ncor1,0.0013058675449234623,211
pdgfa,0.0013047045126049022,212
sbno1,0.0013034245500192874,213
epcam,0.001302645090355594,214
prr16,0.0013025953750848158,215
psen1,0.0012960604550466214,216
ccna1,0.0012885734360752403,217
mdm2,0.0012883732384209672,218
srd5a3,0.001287506907179741,219
mapk6,0.0012818969769452554,220
smad3,0.0012802628101476162,221
eif4e,0.001274983673129799,222
cul1,0.0012730059117546002,223
chd1,0.0012700684210947592,224
pik3r3,0.0012633244052467506,225
hla-g,0.0012624551638295328,226
prkcq,0.0012611173627974587,227
mmp13,0.0012584792688117798,228
cdk8,0.0012579907163651565,229
mecom,0.0012575044741365347,230
pms2,0.0012567180720996667,231
mmp25,0.0012501384245403,232
mlst8,0.001247385504729511,233
nrarp,0.001244024542272616,234
heyl,0.001243390445190811,235
thada,0.0012421107782428257,236
cxcl8,0.0012397533563850564,237
prkce,0.0012361942778675544,238
sik1,0.0012326779206344005,239
stmn2,0.001232371440317515,240
cdkn2b,0.0012297410341974779,241
tgfbr1,0.0012229439832844157,242
bmpr1a,0.00121934018105269,243
dtx1,0.0012171383850181322,244
ahnak2,0.0012162097659310892,245
smarcd1,0.0012144272975277877,246
bmp7,0.0012143232763832475,247
ctbp2,0.0012142873050342011,248
lifr,0.001213843961869765,249
dnah2,0.001213448435699566,250
l1cam,0.0012098131689769007,251
sgcd,0.0012093630075966923,252
rb1,0.0012083368645386123,253
apaf1,0.0011946357411876834,254
src,0.0011913104174044796,255
tnk2,0.0011898677105662224,256
herc2,0.001189273165580936,257
fgf1,0.0011881288874316374,258
casp3,0.0011881090705294515,259
bap1,0.001184133695368211,260
mapk3,0.0011826142623379244,261
map4,0.001178674737669019,262
smarcc1,0.0011773856827275257,263
dnah5,0.0011755438692731975,264
aph1a,0.0011738193278760262,265
tbl1xr1,0.0011665589383869027,266
bcas3,0.0011651160148084458,267
afdn,0.0011650039695361583,268
akt1s1,0.0011641809767271285,269
setd2,0.0011625412273678797,270
mdc1,0.0011623140329268782,271
shbg,0.0011537912050169968,272
tsc2,0.001145783817843484,273
notch2,0.0011440295138482794,274
rbl2,0.0011432494777378788,275
dll3,0.0011411236435386744,276
smarcc2,0.0011394780624275624,277
fgfr1,0.0011391740691770566,278
prkd1,0.0011383067614283925,279
ptprm,0.0011371176193361655,280
dtwd2,0.00113547417118112,281
large1,0.0011350957820520267,282
cyp3a4,0.0011328273782895944,283
fanca,0.0011317668023156588,284
raf1,0.0011302883725306347,285
acvr2a,0.001129138882708626,286
hes2,0.0011285560257187413,287
ncor2,0.0011283948328754316,288
ppp2cb,0.0011279672438306077,289
srd5a2,0.0011278553769257967,290
adam10,0.0011239105519043546,291
nfkb2,0.0011219808138354492,292
kmt2c,0.0011199949501047614,293
asxl1,0.0011197849938886049,294
hdac2,0.001119740629862613,295
mapk7,0.0011175314576238452,296
eif5a2,0.0011145102948480624,297
ros1,0.0011143796636742735,298
mlh1,0.00111409278928583,299
arid1a,0.0011126523046450403,300
usp9x,0.0011123857235268546,301
itgav,0.0011117417778136473,302
prkci,0.0011113464282374772,303
myh9,0.0011091945892557748,304
siah1,0.0011086668204487596,305
cdkn1b,0.0011056150216706099,306
atr,0.0011043006941082653,307
arl11,0.0011006396328143721,308
mmp27,0.0010968664239119107,309
dlec1,0.0010964197094950922,310
map2k5,0.0010963376195578557,311
sik2,0.001095076030222958,312
foxp1,0.0010941593637410923,313
msh2,0.0010928063789060875,314
nek1,0.0010891527226885443,315
atm,0.0010821886529778775,316
hey1,0.001079328044044638,317
kras,0.0010779034620333,318
izumo1r,0.0010756302094731658,319
fbxw7,0.0010738084075729356,320
snw1,0.001070304235639504,321
tulp4,0.0010698252463603958,322
hsd3b1,0.001067863499423749,323
casp8,0.001065927262172784,324
vegfb,0.0010649354034542745,325
hsd3b7,0.0010648772946317798,326
casp7,0.0010628072268481746,327
ptprd,0.001062155210108519,328
sf3b1,0.001059463108928639,329
numb,0.0010594154345287625,330
mmp19,0.0010550135409996583,331
bmp5,0.0010546959836004925,332
mapk8,0.0010509695208834322,333
utrn,0.0010471534295470907,334
opcml,0.0010461392302811658,335
e2f1,0.0010439390832053335,336
mmp26,0.0010433919934071656,337
erbb4,0.0010403393262321877,338
nf2,0.0010394550342393122,339
clk3,0.0010373650848719215,340
e2f6,0.001035993194924104,341
