gene,importancia_gini,posicao
aurka,0.008929321290737811,1
stat5a,0.007867399871244588,2
flt3,0.007085379512364778,3
diras3,0.006963457643538257,4
stat5b,0.006631876916349275,5
gsk3b,0.0058429919714444965,6
mapt,0.005128199830097155,7
ncoa3,0.00510322792824971,8
bcl2,0.004970869809185633,9
map2k4,0.004398563754254131,10
runx1,0.004331442656528477,11
igf1r,0.004023079568120837,12
e2f2,0.0037239650029580506,13
abcb1,0.0036264623187993454,14
tgfbr3,0.0035855245484603987,15
tubb4a,0.0034846015757978113,16
jak2,0.0034676865838389904,17
ryr2,0.003449133688500765,18
shbg,0.003384776841719045,19
dtwd2,0.00329652994085154,20
rps6,0.0032795056775973453,21
vegfa,0.0032661334730636534,22
igf1,0.003253184225696124,23
fancd2,0.00323411407041404,24
cdc25a,0.0031416769147320487,25
ctnna3,0.003134372002318917,26
smad4,0.0031216149729675472,27
lamb3,0.003110003452541239,28
cdk1,0.003089177648163861,29
rps6kb2,0.003068212339052419,30
cir1,0.0030629987887425534,31
fn1,0.0030505896521310348,32
cyp11a1,0.00302486312698108,33
chek1,0.003016717486572105,34
ugt2b15,0.003003897426100542,35
ctcf,0.0030014060217370808,36
dnah2,0.0029909154601481898,37
lama2,0.002981377254229824,38
mmp25,0.0029767183542831967,39
tgfb3,0.0029289372930218893,40
mmp15,0.00288876781590041,41
nrip1,0.0028867351782522863,42
hsd3b7,0.0028817705586800866,43
bche,0.0028792272889345168,44
thada,0.0028621817212158744,45
wwox,0.0028582638997222986,46
hes2,0.0028324401550241527,47
inhba,0.0028110365099252048,48
bard1,0.002786233208592122,49
nfkb1,0.0027512699864727657,50
casp10,0.0027334919650662056,51
prps2,0.002700269110670118,52
mmp7,0.0026938885801183264,53
smarcb1,0.002658029093511034,54
ep300,0.0026482134630333868,55
dnah11,0.002640698273751123,56
rps6ka2,0.002623568073741472,57
ush2a,0.0026182553390765263,58
cul1,0.0026162082560107613,59
cxcr1,0.0026091882444673614,60
smad6,0.002581075020793054,61
mmp9,0.0025555348672258735,62
col22a1,0.0025406918393071983,63
psen2,0.0025381321082744443,64
rpgr,0.0025228723007560032,65
map3k1,0.0025115164891278668,66
akap9,0.00251097791127285,67
ccne1,0.002503901760809208,68
aph1b,0.0024977492152063155,69
pms2,0.0024917001733540164,70
mmp23b,0.00247607822183434,71
spry2,0.0024726674069491133,72
ptpn22,0.0024509678288465783,73
ccnb1,0.002434588408528118,74
mmp17,0.002424701075106442,75
kit,0.002411693840354783,76
prkcq,0.0024104524680849575,77
ugt2b7,0.0024086357871480287,78
map2k1,0.002408141989314963,79
fas,0.0023864566626181985,80
apc,0.0023794168729094267,81
slc19a1,0.0023738012600283956,82
magea8,0.002366060065677592,83
ctbp2,0.002359941686398865,84
rictor,0.0023473913581445846,85
ctbp1,0.002343649251278186,86
mmp12,0.002341340370424082,87
brca2,0.0023283544777154006,88
smad1,0.0023212998083392794,89
ugt2b17,0.002321022361518894,90
mapk9,0.0023187879778638243,91
mecom,0.002307413641886044,92
jag1,0.0022983025753455216,93
fgf1,0.0022957648795046636,94
tsc1,0.0022943045839530396,95
mmp19,0.002290943184955964,96
cdk8,0.002289755376358558,97
cyp17a1,0.0022847972309637415,98
e2f8,0.0022813846567114834,99
map2,0.0022796346650808597,100
e2f7,0.0022773911764627348,101
mlh1,0.002276933859110251,102
casp7,0.0022712490520142297,103
pdgfra,0.00226767730076666,104
smad7,0.0022661906023200055,105
nek1,0.0022633294320476044,106
e2f6,0.002255574541881131,107
men1,0.002252406520812847,108
acvr1b,0.002244802329676486,109
erbb2,0.0022441717856979274,110
asxl2,0.0022384561640890516,111
bbc3,0.002237394173754995,112
nbn,0.0022346020195317885,113
tbl1xr1,0.0022247837254618834,114
nf2,0.0022127948432381374,115
dll3,0.0022106572584313353,116
ccnd2,0.002206318345201403,117
map2k3,0.002204569721996556,118
hsd17b13,0.002197396989717983,119
e2f4,0.002193074021325341,120
apaf1,0.0021859778238653696,121
gldc,0.0021847524060751924,122
ahnak,0.0021755716219928286,123
pik3r3,0.0021749443561062966,124
agtr2,0.0021707743645605036,125
rbl2,0.002161794910476902,126
ncstn,0.002156491383899475,127
rbpj,0.0021554681331391644,128
akr1c1,0.0021549419647354283,129
chek2,0.0021511390481603883,130
kdm3a,0.0021487837559782987,131
itgav,0.0021477600680244045,132
atr,0.002143566705914001,133
akt2,0.0021425361886411374,134
nrarp,0.002141700634886494,135
dlec1,0.002139016326105491,136
srd5a3,0.002135294242218533,137
tgfb2,0.0021347788940226688,138
acvr2a,0.0021246526548970527,139
nr2f1,0.0021241672537111963,140
maml2,0.0021130937464678055,141
hsd17b2,0.0021118487268188793,142
map3k3,0.0021091615457933042,143
mtap,0.002108395082043907,144
ccnd3,0.0021028432285799983,145
dtx3,0.0020938851517327867,146
raf1,0.0020932557788170543,147
cdk2,0.002088463101581812,148
lifr,0.0020875683098892602,149
afdn,0.002087495942200619,150
cdh1,0.002084207916027877,151
l1cam,0.0020841284249757523,152
ppp2r2a,0.0020840285245973646,153
bmp4,0.0020830897997995562,154
acvr1c,0.002077488077820162,155
hey2,0.0020770882033442906,156
prkcz,0.002076250764983955,157
prkce,0.002075265010656007,158
cyp3a7,0.002074210375693501,159
gh1,0.0020740261260367727,160
bap1,0.0020714961713241596,161
mmp3,0.0020708504888714155,162
mapk1,0.0020692890631196204,163
hdac1,0.002068039135431002,164
cdk4,0.0020667956076053868,165
ctnna1,0.002064510116512701,166
slc29a1,0.002064265003297272,167
hes6,0.0020558429764651756,168
cdk6,0.0020515605912228663,169
nf1,0.002050593424861936,170
srd5a1,0.0020466611801120103,171
myh9,0.0020394324555746677,172
hsd17b7,0.0020376625763920985,173
eif4ebp1,0.002033416223228554,174
setdb1,0.002018401244563592,175
rassf1,0.0020123143650944424,176
setd1a,0.0020114832626408614,177
thsd7a,0.002004172998265992,178
casp6,0.00200282027276544,179
mmp14,0.002002623820156422,180
hes1,0.001997350147226198,181
bcl2l1,0.001994652042190244,182
rbl1,0.001993768553957039,183
sdc4,0.00199150623723674,184
hsd17b3,0.0019906286131231464,185
gdf11,0.001986584054341484,186
mmp26,0.001984240314027475,187
taf1,0.001983824485497277,188
ttyh1,0.0019766935875041125,189
mmp27,0.001975961776543282,190
mmp1,0.0019688740580935246,191
mlst8,0.001968638924029594,192
hes5,0.001961352247787637,193
pik3r2,0.001961083549450921,194
mmp10,0.0019581107730616454,195
gata3,0.001955548623587782,196
src,0.0019467539331957252,197
pik3ca,0.0019418313299747567,198
akt3,0.0019417533296606654,199
psen1,0.0019407449828120504,200
sgcd,0.0019357640340558209,201
pdpk1,0.001932741556567678,202
tbx3,0.001931417936166495,203
npnt,0.0019301771284730858,204
hla-g,0.0019280460319236435,205
kdr,0.001927331157926914,206
mapk8,0.001924465540771133,207
sik2,0.0019214954078247968,208
prkd1,0.001920921693301854,209
e2f3,0.001919221643827912,210
bmf,0.0019191640081921248,211
eif5a2,0.0019157850784626734,212
itch,0.0019142748823324125,213
hsd17b14,0.0019105551792775023,214
smarcd1,0.0019085443858324214,215
smad2,0.0019054823837267429,216
aff2,0.0019023467889643074,217
agmo,0.0018976170358375767,218
akt1,0.0018953397736697758,219
smad9,0.0018950228495343514,220
hsd17b11,0.0018915445849302897,221
map3k10,0.0018888631089466414,222
itgb3,0.0018877195322081152,223
dll4,0.0018874252726392277,224
utrn,0.0018866978151970517,225
ros1,0.0018817988819908274,226
dtx2,0.0018802209464955342,227
snw1,0.0018801116340520945,228
spaca1,0.0018797554496373778,229
cbfb,0.0018778972024204408,230
mmp16,0.0018759580647942661,231
hes4,0.0018745603096440822,232
or6a2,0.0018737529461625168,233
cyp19a1,0.0018735926606592594,234
abcc1,0.0018689208268022773,235
akr1c3,0.0018684933673302321,236
nr1i2,0.0018672072956455496,237
mmp13,0.001867034249557746,238
hsd3b1,0.0018662376288791436,239
hras,0.0018599380677815052,240
rad50,0.0018588101120982528,241
tert,0.0018532265473330351,242
fam20c,0.0018517311847999801,243
pten,0.0018449240699620827,244
ackr3,0.001844227013401698,245
zfyve9,0.001843114586955119,246
abcb11,0.0018395948298003967,247
hsd17b1,0.0018364825823627858,248
arrdc1,0.001834906645283117,249
prkacg,0.0018331797959575652,250
map2k2,0.001831739911103009,251
msh2,0.0018282683352775556,252
arid5b,0.0018281785878907235,253
ccna1,0.0018281369987045207,254
terc,0.001827202621702651,255
cyb5a,0.0018262799086451933,256
prkci,0.0018238753408107945,257
smarcc2,0.0018229507884708293,258
smad5,0.0018217269846073202,259
maml3,0.0018191080974060251,260
hif1a,0.0018189095725266772,261
mmp11,0.0018182290761876649,262
clk3,0.0018173436434781424,263
rad51c,0.0018171155649982969,264
rptor,0.0018163762174014354,265
bmp5,0.00181258088045291,266
rb1,0.0018120078861459696,267
cyp3a43,0.001806945176148027,268
hsd17b6,0.0018061928663954407,269
stmn2,0.0018057669741725767,270
ccnd1,0.001801982533349104,271
cacna2d3,0.001801640481771691,272
ptk2,0.0018013703344290028,273
klrg1,0.0017994108983580255,274
cxcr2,0.001796220372759502,275
nrg3,0.001793330472873685,276
mapk4,0.0017920864046715016,277
gpr32,0.0017903169362282053,278
notch3,0.001789696376259267,279
map2k5,0.0017853198423650252,280
ran,0.0017845441911983968,281
tg,0.0017842739806472655,282
stat3,0.0017833579090717467,283
opcml,0.0017829191870967947,284
met,0.0017814818009577909,285
epcam,0.0017786983988333218,286
tp53bp1,0.00177787720495446,287
tp53,0.0017776529719772307,288
rps6ka1,0.0017739550510185247,289
cyp3a5,0.001767241925602739,290
brca1,0.001765697866789593,291
usp9x,0.0017604718684609433,292
hsd3b2,0.0017599161104924837,293
dll1,0.001756696463555836,294
jag2,0.0017547572453387255,295
nr3c1,0.001751606027563631,296
cxcl8,0.00174949910013899,297
sox9,0.0017481891701082155,298
bmp6,0.001745358346832938,299
mmp21,0.001744141350224873,300
map3k4,0.0017435489548188877,301
stat1,0.001737819876621623,302
bad,0.0017368383440911053,303
fgf2,0.0017333799640504395,304
map4,0.0017322860103996733,305
hdac2,0.0017289801258365254,306
ptprm,0.0017286205638875557,307
prkg1,0.001727879859271921,308
smad3,0.0017254754672970556,309
mapk14,0.0017201216418140173,310
akr1c2,0.0017197790665355482,311
jak1,0.0017197081651131206,312
spen,0.0017189112254410001,313
pdgfb,0.001718148088801408,314
notch2,0.0017156646034741374,315
dph1,0.0017154344002729524,316
mmp28,0.001712586928492944,317
bmp2,0.0017105613070630137,318
serpini1,0.001710512008151543,319
bmp3,0.0017097542496376816,320
mapk7,0.001704103276336531,321
heyl,0.0017024428111952353,322
gps2,0.0017023029655560068,323
sbno1,0.0016898743330560392,324
tgfb1,0.0016889867635974053,325
eif4e,0.0016875387823514828,326
shank2,0.0016874006145821364,327
tgfbr2,0.001687254315762274,328
sf3b1,0.0016867399788295285,329
tsc2,0.0016843210323327837,330
wfdc2,0.0016810857985626844,331
fanca,0.0016809021298446545,332
hsd17b8,0.0016799472496467273,333
birc6,0.001675683422403732,334
csf1r,0.0016744542968516732,335
nras,0.0016721583219886534,336
rab25,0.0016665686466748723,337
alk,0.0016665365481095824,338
myo1a,0.0016613192204017156,339
siah1,0.001661314193159936,340
mdc1,0.0016582209026534834,341
folr3,0.0016563754055462132,342
casp9,0.0016560353033894999,343
bcas3,0.0016546400849240164,344
smarcc1,0.0016543437436030704,345
pde4dip,0.0016541505812539747,346
hist1h2bc,0.0016531512151625823,347
tulp4,0.0016458378482268519,348
fgfr1,0.001644596635577804,349
e2f1,0.0016440139801646542,350
cyp2c8,0.0016391429045926186,351
kdm6a,0.0016382870249755741,352
st7,0.0016382859296828107,353
peg3,0.001637645748339684,354
kmt2d,0.0016359524740852138,355
hsd17b4,0.001635143350884802,356
rdh5,0.0016333240130716798,357
bmpr1b,0.0016322455693867342,358
stat2,0.0016311049530655713,359
atm,0.001629555874511087,360
bmp15,0.0016290694630799103,361
bmp10,0.0016290438886247599,362
folr2,0.0016267821392894292,363
slco1b3,0.0016266687145173912,364
adam17,0.0016237366361946913,365
lfng,0.0016232961760376157,366
folr1,0.0016232261449793076,367
zfp36l1,0.0016209676565646365,368
muc16,0.0016208816150993241,369
cdkn2a,0.0016208017723833743,370
kras,0.0016180385200178417,371
rad51,0.0016158338421828546,372
akr1c4,0.0016152935599450845,373
col6a3,0.001610330346960257,374
hey1,0.0016102265299083088,375
stk11,0.0016098536877166274,376
syne1,0.0016092616932673902,377
cdkn1a,0.0016072710239183187,378
cdkn2c,0.0016064242043905082,379
erbb4,0.0016062988257952637,380
vegfb,0.0016051840549334128,381
chd1,0.001599562778538175,382
map3k5,0.0015992837691882831,383
mdm2,0.0015991240772845075,384
myo3a,0.001597783481913833,385
adam10,0.0015951257993073364,386
clrn2,0.0015932478489231834,387
erbb3,0.0015911933974317144,388
casp8,0.001590318771586406,389
cdkn2b,0.0015863837347865263,390
dtx1,0.0015858847116345665,391
asxl1,0.0015846289683727648,392
col12a1,0.0015824583428543713,393
acvrl1,0.0015808230361510065,394
myc,0.0015781446816366706,395
lipi,0.001578081478387291,396
egfr,0.0015780768223291526,397
hsd17b12,0.0015779839176335625,398
bmpr2,0.0015774392793206065,399
mapk6,0.0015766734370018908,400
srd5a2,0.0015735213309975744,401
herc2,0.00157289532355953,402
arid1a,0.0015721678555312441,403
e2f5,0.0015714838058847372,404
psenen,0.0015670203535615977,405
rasgef1b,0.0015663040143050445,406
cyp11b2,0.001563959535201655,407
ncor1,0.0015623565994625631,408
frmd3,0.001558180396208514,409
acvr1,0.0015553804879009615,410
fbxw7,0.0015540051353608543,411
star,0.001553799901112961,412
nt5e,0.0015534228790423394,413
dtx4,0.0015503541259190947,414
acvr2b,0.0015496590250347782,415
inhbc,0.001548509236886075,416
casp3,0.0015457901270914992,417
rps6kb1,0.001544968728269027,418
large1,0.0015428883838937417,419
arid1b,0.0015427303578426457,420
cdkn1b,0.0015361658076670727,421
rfng,0.0015354074482961584,422
tgfbr1,0.0015352529715775714,423
sik1,0.0015302379561668977,424
bmpr1a,0.0015287239064152459,425
pik3r1,0.0015283213737612004,426
gdf2,0.001527912215643013,427
ppp2cb,0.0015238078930986728,428
pdgfrb,0.0015197402347960555,429
csf1,0.001515467866892482,430
ldlrap1,0.001510841458501578,431
hsd17b10,0.0015076103753030045,432
pdgfa,0.001506959016810632,433
adgra2,0.0015050950400657963,434
rbpjl,0.0015034483023371886,435
numbl,0.0015028887761627315,436
dnah5,0.0015013647766485359,437
taf4b,0.001497501583414533,438
palb2,0.0014964339570872095,439
tnk2,0.0014909835797774543,440
abcc10,0.0014894627488323735,441
cyp21a2,0.0014884984529061798,442
msh6,0.0014856907133168138,443
arl11,0.0014777473702049983,444
mmp24,0.0014752719670914109,445
ncor2,0.0014749608195262643,446
ubr5,0.0014734748822689604,447
ar,0.0014578231117162244,448
ptprd,0.0014561786894650953,449
foxp1,0.0014558830465605723,450
izumo1r,0.0014521260690610132,451
plagl1,0.0014472763198141961,452
arid2,0.0014450214531640305,453
ahnak2,0.0014449584578155742,454
rad51d,0.0014425869090452315,455
rheb,0.0014423700934319895,456
foxo3,0.001437607353352772,457
tubb1,0.001436291937739169,458
sptbn1,0.0014314169038282718,459
stab2,0.0014285733292198268,460
aph1a,0.001427498612659746,461
mapk3,0.0014081286370500636,462
ncoa2,0.0014040034147833286,463
pbrm1,0.0014039924274326572,464
twist1,0.0013970903011629114,465
maml1,0.0013953855556463025,466
mapk12,0.0013947657425073686,467
kdm5a,0.0013891187071099114,468
notch1,0.0013832523440748747,469
mtor,0.0013762116837324678,470
bmp7,0.0013681236365777566,471
prr16,0.0013657000857705019,472
nfkb2,0.0013614257423119533,473
tubb4b,0.001356361789874953,474
map3k13,0.0013425309816631756,475
ddc,0.001341227599798638,476
foxo1,0.001337088194228313,477
cyp3a4,0.001332681213043443,478
setd2,0.0013207878990301235,479
palld,0.0013183267451104214,480
braf,0.001307627884530469,481
hes7,0.0012791353270152773,482
kmt2c,0.001277175523103874,483
numb,0.0012635137138423548,484
inha,0.001240068927576436,485
akt1s1,0.0012400202221452728,486
hdac9,0.001202584445699428,487
mmp2,0.0011298896478648282,488
dab2,0.0011131460751587486,489
