gene,HR_int_ajust,p,n,fdr
eif4e,0.7899886435564561,0.00013808637671847092,1810,0.0008988354321778961
twist1,0.7975325173534668,0.00025681012347939885,1810,0.0008988354321778961
dnah2,1.2526582836692133,0.000248995403646503,1810,0.0008988354321778961
setdb1,1.209708314573854,0.002037652691377781,1810,0.0025933761526626305
pdgfra,0.8185317948451641,0.0018865237467686885,1810,0.0025933761526626305
epcam,0.842789349434555,0.008621007312810494,1810,0.009284161721488224
myc,0.7942611662629937,0.00018635368483816453,1810,0.0008988354321778961
mtor,1.2233784640822598,0.0008730924704620372,1810,0.0016845644286395962
map3k13,1.2314444789710617,0.0004212582597872867,1810,0.0011795231274044028
ackr3,0.8179166806316116,0.0014451520450836867,1810,0.0022480142923524014
bap1,1.1945827066731478,0.002794221223322713,1810,0.0032599247605431653
dtx3,1.1491782075418278,0.012806497891256942,1810,0.012806497891256942
casp6,0.8084861299549949,0.0005375097161294014,1810,0.00125418933763527
mmp16,0.8123350233411045,0.000962608244936912,1810,0.0016845644286395962
