gene,media,dp,mad,minimo,maximo
magea8,0.000565840801265155,1.00204600066598,0.29399958,-1.2158,12.6817
fancd2,0.000508170795993674,1.00202317345404,0.94471272,-2.9397,4.6186
bche,0.000508803373748023,1.00202111977977,0.3165351,-1.1414,8.7762
met,0.000148339483394834,1.00193648253807,0.79126362,-2.2137,7.6227
bard1,-0.000398892988929888,1.00192948754936,1.00757496,-2.9849,3.3646
igf1r,-0.0000760147601476026,1.00191285868168,0.9696204,-2.3856,4.9793
diras3,0.000892461781760675,1.00189565891433,0.53329122,-1.3995,10.2727
nfkb1,-0.0000645756457564579,1.00188616621474,0.96843432,-4.5635,3.8213
prkce,-0.000406431207169215,1.00186494020828,0.93270366,-2.3216,7.0458
prkacg,0.000257828149710069,1.0018349250025,0.84330288,-2.6023,6.5486
bmp5,0.000747654190827622,1.00180727646241,0.50393574,-1.63,11.1038
prkcq,-0.00057011070110701,1.0018044854855,1.01024364,-3.2231,3.8465
bcas3,0.000837585661570902,1.00179020588054,0.8858535,-2.6722,5.3337
bad,-0.000105851344227728,1.00177441560992,0.97021344,-2.8825,5.382
slc29a1,0.000888402741170268,1.00177122859638,0.9696204,-3.8516,3.4109
akt1,0.000387822878228783,1.00175525354795,0.98177772,-2.7821,4.295
braf,0.00126557722720084,1.00172879962966,0.8688036,-2.5383,5.5645
mmp3,-0.000170005271481287,1.0017255133228,1.02462486,-1.9256,4.2991
abcb1,0.000891829204006327,1.00172452085235,0.9140229,-1.9477,5.118
clk3,-0.000661096468107539,1.00172193821042,0.9458988,-3.0581,5.5333
mapk14,0.000262414338429099,1.00172188766487,1.03322394,-2.9367,3.9901
col22a1,0.000398207696362678,1.00171333739411,0.50719746,-1.2151,8.1668
ugt2b17,0.000271481286241435,1.0017040860799,0.5433729,-2.1126,12.6439
pik3r2,-0.000326410121244069,1.0016946521748,0.94204404,-4.4302,4.3477
muc16,0.000691196626251977,1.00169412321245,0.40045026,-1.1067,4.9961
ccnb1,-0.000489035318924617,1.00168106284506,0.993342,-2.2135,4.556
mmp1,0.0011309963099631,1.00167919318714,0.43410528,-1.377,6.2827
csf1,-0.000404059040590405,1.00166821579037,0.86331798,-2.819,6.2807
hsd3b1,0.000124512387981023,1.00165260629489,0.83885508,-3.0538,12.4827
akr1c1,0.00048255139694254,1.00164008176749,0.98800464,-3.9322,4.1984
