variavel,teste,estatistica,gl,valor_p,valor_p_fdr
grau,Qui-quadrado de Pearson,403.81,10,1.45388631937365e-80,5.08860211780778e-80
ln_pos,Qui-quadrado de Pearson,24.91,5,0.00014501308235918,0.00014501308235918
er,Qui-quadrado de Pearson,1093.86,5,2.85556328369551e-234,3.99778859717372e-233
pr,Qui-quadrado de Pearson,505.33,5,5.63492117274488e-107,3.94444482092141e-106
her2,Qui-quadrado de Pearson,463.53,5,5.9241048136957e-98,2.76458224639133e-97
quimio,Qui-quadrado de Pearson,309.94,5,7.2835804115917e-65,2.03940251524568e-64
hormonio,Qui-quadrado de Pearson,207.37,5,7.53988651138803e-43,1.50797730227761e-42
radio,Qui-quadrado de Pearson,31.16,5,0.00000872631523621889,0.000010180701108922
menopausa,Qui-quadrado de Pearson,91.89,5,2.68985642683733e-18,4.18422110841363e-18
idade,Kruskal-Wallis,139.33,5,2.48255718263413e-28,4.34447506960973e-28
tamanho,Kruskal-Wallis,58.33,5,2.68959671486623e-11,3.76543540081273e-11
linfonodos,Kruskal-Wallis,25.72,5,0.000101289156207001,0.000109080629761385
npi,Kruskal-Wallis,222.93,5,3.50737072325229e-46,8.18386502092201e-46
os_meses,Kruskal-Wallis,57.56,5,3.88097490637175e-11,4.93942260810949e-11
