subtipo,gene,diff_z,media_expr,estatistica_t,valor_p,fdr,B,direcao,significativo
Basal,ccne1,1.66716272379512,-0.000208065366367947,28.5231185623348,2.12728605368741e-151,1.04024288025314e-148,335.239955680476,Superexpresso,TRUE
Basal,gata3,-1.37581519045986,-0.000376910911966263,-26.7864023245336,4.09041292541436e-136,1.00010596026381e-133,300.132153565843,Subexpresso,TRUE
Basal,chek1,1.57436975490414,0.0015516078017923,26.2162655914004,3.38001639280589e-131,5.50942672027361e-129,288.838166420168,Superexpresso,TRUE
Basal,cdkn2a,1.65631922353865,0.000902055877701633,25.7568232617703,2.83566315601218e-127,3.46659820822489e-125,279.826285406034,Superexpresso,TRUE
Basal,e2f3,1.51233609156609,0.000299261992619929,24.2098844479927,2.47200135026253e-114,2.41761732055676e-112,250.108063314963,Superexpresso,TRUE
Basal,ttyh1,1.49385064395979,-0.000492830785450711,23.726581587128,2.21389311629682e-110,1.80432288978191e-108,241.032847727489,Superexpresso,TRUE
Basal,cdc25a,1.45290663005943,-0.000103321033210332,23.6269459888347,1.4264762557402e-109,9.96495555795653e-108,239.17496005329,Superexpresso,TRUE
Basal,map2,1.52546399492697,-0.0011566684238271,23.2900499575308,7.50769644089391e-107,4.5890794494964e-105,232.92656729836,Superexpresso,TRUE
Basal,tgfb3,-1.40997751082609,-0.00108096995255667,-21.4582850747393,1.80992215790961e-92,9.83391039130888e-91,199.907976112748,Subexpresso,TRUE
Basal,egfr,1.27669674930396,0.000139377965208223,20.6658626091139,1.77436972774154e-86,8.67666796865615e-85,186.155967063792,Superexpresso,TRUE
Basal,cdk6,1.27790211707289,0.0000848708487084863,20.3699655463328,2.80854547457022e-84,1.2485261246044e-82,181.108142479423,Superexpresso,TRUE
Basal,notch1,1.29142481396244,-0.00146784396415393,20.2045725847046,4.66331643405665e-83,1.90030144687809e-81,178.307823749636,Superexpresso,TRUE
Basal,aph1b,-1.23402765115331,0.00023911439114391,-19.6769014641577,3.28764900940972e-79,1.23666181969335e-77,169.477126661696,Subexpresso,TRUE
Basal,ahnak,-1.30150008070874,-0.00137179757511861,-19.5959689097039,1.26179698027058e-78,4.40727659537367e-77,168.136839082948,Subexpresso,TRUE
Basal,msh6,1.30779777268808,0.000937005798629415,19.2917734323839,1.91258470937945e-76,6.23502615257702e-75,163.133387827196,Superexpresso,TRUE
Basal,mapt,-1.11082412236086,0.000330680021085925,-19.1526572260809,1.86643704078337e-75,5.70429820589419e-74,160.863355876775,Subexpresso,TRUE
Basal,e2f2,1.1961738028959,-0.000510648392198207,19.1030721596859,4.19235403379311e-75,1.20591830736755e-73,160.057031873153,Superexpresso,TRUE
Basal,hsd17b4,-1.23105291791379,-0.000123668950975223,-18.8255848540729,3.7795046265392e-73,1.02676542354315e-71,155.571896572105,Subexpresso,TRUE
Basal,ar,-1.19219851251325,-0.000469372693726938,-18.6801572696443,3.92617016458531e-72,1.01047221604327e-70,153.239883982276,Subexpresso,TRUE
Basal,aurka,1.10688000296524,0.0000494992092778091,18.0918671357892,4.4529163218552e-68,1.0887380406936e-66,143.939110419946,Superexpresso,TRUE
Basal,srd5a1,1.17719545879415,0.00115487612018977,17.9689910533931,3.0460820246468e-67,7.09301957167756e-66,142.023739616738,Superexpresso,TRUE
Basal,lfng,-1.23167524518896,-0.00049973642593569,-17.8052664817047,3.94361635574476e-66,8.76558362708722e-65,139.473156818403,Subexpresso,TRUE
Basal,frmd3,1.19808816808591,0.0000823932525039538,17.6518879999674,4.16565942964803e-65,8.85655417868647e-64,137.125110237165,Superexpresso,TRUE
Basal,mtap,1.22725156693273,0.000935582498682131,17.5872075562599,1.15334808301857e-64,2.34994671915034e-63,136.111062303643,Superexpresso,TRUE
Basal,mmp7,1.10036895842564,0.0015913020558777,17.0910876950055,2.12986778698516e-61,4.16602139134298e-60,128.620824368554,Superexpresso,TRUE
Basal,fancd2,1.10845806990677,0.000508170795993674,17.0528526146471,3.78408563982699e-61,7.11699183798231e-60,128.048514198619,Superexpresso,TRUE
Basal,cyb5a,-1.11118964818016,0.000373748023194519,-16.7167750230656,5.6736432885962e-59,1.02755984004576e-57,123.059894461444,Subexpresso,TRUE
Basal,cdk1,1.03706380372776,0.00170500790722193,16.5015048164158,1.35012547960193e-57,2.35789771259052e-56,119.904355773547,Superexpresso,TRUE
