subtipo,gene,diff_z,media_expr,estatistica_t,valor_p,fdr,B,direcao,significativo
Basal,ccne1,1.66716272379512,-0.000208065366367947,28.5231185623348,2.12728605368741e-151,1.04024288025314e-148,335.239955680476,Superexpresso,TRUE
Basal,cdkn2a,1.65631922353865,0.000902055877701633,25.7568232617703,2.83566315601218e-127,3.46659820822489e-125,279.826285406034,Superexpresso,TRUE
Basal,chek1,1.57436975490414,0.0015516078017923,26.2162655914004,3.38001639280589e-131,5.50942672027361e-129,288.838166420168,Superexpresso,TRUE
Basal,map2,1.52546399492697,-0.0011566684238271,23.2900499575308,7.50769644089391e-107,4.5890794494964e-105,232.92656729836,Superexpresso,TRUE
Basal,e2f3,1.51233609156609,0.000299261992619929,24.2098844479927,2.47200135026253e-114,2.41761732055676e-112,250.108063314963,Superexpresso,TRUE
Basal,ttyh1,1.49385064395979,-0.000492830785450711,23.726581587128,2.21389311629682e-110,1.80432288978191e-108,241.032847727489,Superexpresso,TRUE
Basal,cdc25a,1.45290663005943,-0.000103321033210332,23.6269459888347,1.4264762557402e-109,9.96495555795653e-108,239.17496005329,Superexpresso,TRUE
Basal,tgfb3,-1.40997751082609,-0.00108096995255667,-21.4582850747393,1.80992215790961e-92,9.83391039130888e-91,199.907976112748,Subexpresso,TRUE
Basal,gata3,-1.37581519045986,-0.000376910911966263,-26.7864023245336,4.09041292541436e-136,1.00010596026381e-133,300.132153565843,Subexpresso,TRUE
Basal,msh6,1.30779777268808,0.000937005798629415,19.2917734323839,1.91258470937945e-76,6.23502615257702e-75,163.133387827196,Superexpresso,TRUE
Basal,ahnak,-1.30150008070874,-0.00137179757511861,-19.5959689097039,1.26179698027058e-78,4.40727659537367e-77,168.136839082948,Subexpresso,TRUE
Basal,notch1,1.29142481396244,-0.00146784396415393,20.2045725847046,4.66331643405665e-83,1.90030144687809e-81,178.307823749636,Superexpresso,TRUE
Basal,cdk6,1.27790211707289,0.0000848708487084863,20.3699655463328,2.80854547457022e-84,1.2485261246044e-82,181.108142479423,Superexpresso,TRUE
Basal,egfr,1.27669674930396,0.000139377965208223,20.6658626091139,1.77436972774154e-86,8.67666796865615e-85,186.155967063792,Superexpresso,TRUE
Basal,aph1b,-1.23402765115331,0.00023911439114391,-19.6769014641577,3.28764900940972e-79,1.23666181969335e-77,169.477126661696,Subexpresso,TRUE
Her2,erbb2,1.57364641707366,0.00156700052714813,24.7835350347344,4.41336640164773e-119,2.15813617040574e-116,260.960905287066,Superexpresso,TRUE
Her2,arrdc1,1.1239665051281,0.000835424354243542,16.5754628681864,4.731309466981e-58,1.15680516467686e-55,121.159312393271,Superexpresso,TRUE
Her2,smad4,-1.1148771835639,0.00131855561412757,-16.3157215147068,2.12755187608952e-56,3.46790955802592e-54,117.377162761629,Subexpresso,TRUE
Her2,gsk3b,1.03718825801985,-0.000355772272008434,15.4953946449109,2.45777302449619e-51,2.40370201795728e-49,105.794933263644,Superexpresso,TRUE
Her2,mmp15,1.01733276149734,-0.000574380600948866,15.1157123680009,4.68470558460448e-49,3.81803505145265e-47,100.580108278455,Superexpresso,TRUE
Her2,akt1,0.989081282737518,0.000387822878228783,14.3804628089156,9.11288371451788e-45,5.57025017049905e-43,90.7739900681319,Superexpresso,TRUE
Her2,myc,-0.977062609632006,0.00202298365840801,-14.5637910934292,7.88473294486425e-46,5.50804915719803e-44,93.2034255307827,Subexpresso,TRUE
Her2,bcl2,-0.955128013970553,0.000537216657880864,-16.1022729246871,4.43665831047144e-55,5.42381478455133e-53,114.358403580599,Subexpresso,TRUE
Her2,ncoa3,0.862859211875874,-0.000854454401686875,12.6363728068916,2.57905606947421e-35,1.26115841797289e-33,69.1811541094689,Superexpresso,TRUE
Her2,kit,-0.840013971151026,0.000919504480759093,-13.0012466173256,3.21711867754675e-37,1.7479678148004e-35,73.5280711967001,Subexpresso,TRUE
Her2,tgfbr3,-0.832256978154753,-0.00316062203479178,-12.2352812428872,2.73167995727499e-33,1.11315958258956e-31,64.5591340484016,Subexpresso,TRUE
Her2,frmd3,-0.812782037487411,0.0000823932525039538,-12.4770000950332,1.6405990970855e-34,7.29320871340738e-33,67.3465407507019,Subexpresso,TRUE
Her2,rps6kb2,0.789043101680259,-0.00102883500263574,11.5571965379611,5.51754971410136e-30,2.07544754630428e-28,57.0193404879447,Superexpresso,TRUE
Her2,srd5a3,0.786811404513584,0.000572851871375858,11.1384052305664,5.01605608268225e-28,1.75203673173687e-26,52.5544046947033,Superexpresso,TRUE
Her2,ldlrap1,0.763097653902637,-0.0010248286768582,10.852354121294,1.00334237745334e-26,2.72574679208156e-25,49.5897853176715,Superexpresso,TRUE
LumA,gata3,1.12780580731251,-0.000376910911966263,34.0406648588773,2.03910532016798e-202,9.97122501562143e-200,452.457999054861,Superexpresso,TRUE
LumA,mapt,1.12142115912759,0.000330680021085925,29.9751869320786,1.69741565057808e-164,4.15018126566341e-162,365.329718708627,Superexpresso,TRUE
LumA,aurka,-0.956043824715138,0.0000494992092778091,-24.2253504739111,1.84433285885408e-114,2.25469691994912e-112,250.39109087486,Subexpresso,TRUE
LumA,ccne1,-0.93780640224747,-0.000208065366367947,-24.8737708525239,7.80441696160679e-120,1.27211996474191e-117,262.732016559106,Subexpresso,TRUE
LumA,aph1b,0.936839478012399,0.00023911439114391,23.1582865336644,8.58248285633875e-106,6.99472352791608e-104,230.486429449289,Superexpresso,TRUE
LumA,e2f2,-0.926551057340486,-0.000510648392198207,-22.939698486829,4.79896543508307e-104,3.35242013965089e-102,226.473727914228,Subexpresso,TRUE
LumA,chek1,-0.922945345487368,0.0015516078017923,-23.8259098443337,3.44039670408898e-111,3.36470797659902e-109,242.879794762925,Subexpresso,TRUE
LumA,bcl2,0.905295086846158,0.000537216657880864,22.7086588698169,3.29237600750159e-102,2.01246483458534e-100,222.257193513042,Superexpresso,TRUE
LumA,cdc25a,-0.875085617777697,-0.000103321033210332,-22.0612364345613,4.0116042491634e-97,2.17963830871211e-95,210.58025050845,Subexpresso,TRUE
LumA,igf1r,0.845494386635927,-0.0000760147601476026,20.7470906860031,4.38148804384429e-87,1.94777059403624e-85,187.53621671875,Superexpresso,TRUE
LumA,erbb3,0.822080516613338,0.00135687928307855,21.0107462902557,4.56375267117711e-89,2.23167505620561e-87,192.08636313504,Superexpresso,TRUE
LumA,hsd17b4,0.799778529159575,-0.000123668950975223,18.9605493573278,4.25672115403785e-74,1.38769109621634e-72,157.731557104,Superexpresso,TRUE
LumA,srd5a1,-0.789502090809542,0.00115487612018977,-18.682621651315,3.77389305044687e-72,1.15339606354282e-70,153.262936965763,Subexpresso,TRUE
LumA,e2f4,-0.786396636866476,-0.000731365313653133,-18.4462232875459,1.64975505691073e-70,4.48183457127415e-69,149.499130337169,Subexpresso,TRUE
LumA,cyp21a2,0.783621125770342,-0.00240817079599367,17.6793212915651,2.72896531333374e-65,7.02349493800106e-64,137.528887783286,Superexpresso,TRUE
LumB,egfr,-1.06350950408881,0.000139377965208223,-23.6341236208678,1.24750601987168e-109,3.05015221858627e-107,239.34903200295,Subexpresso,TRUE
LumB,gata3,1.0039597532391,-0.000376910911966263,26.8350823746247,1.54712527234726e-136,7.56544258177811e-134,301.096895784008,Superexpresso,TRUE
LumB,lamb3,-0.94281654813229,-0.000418028465998946,-18.9352864076697,6.41140195536284e-74,5.22529259362072e-72,157.436229536861,Subexpresso,TRUE
LumB,notch1,-0.935548940275111,-0.00146784396415393,-20.0946013244435,2.99464881431515e-82,4.88127756733369e-80,176.538343508311,Subexpresso,TRUE
LumB,plagl1,-0.924646403473276,-0.000521085925144968,-19.3208674809544,1.18597904759276e-76,1.44985938568215e-74,163.702147099134,Subexpresso,TRUE
LumB,foxo1,-0.903181066949944,-0.000643384290985763,-18.3675899201813,5.75228475654738e-70,2.81286724595167e-68,148.374209637068,Subexpresso,TRUE
LumB,spry2,-0.895034173070226,-0.000468160253031102,-18.1263083754208,2.59319086974165e-68,1.15279121391242e-66,144.582850598728,Subexpresso,TRUE
LumB,mmp7,-0.884962338405577,0.0015913020558777,-18.8707214107922,1.82306506848444e-73,1.27354116926984e-71,156.395707194259,Subexpresso,TRUE
LumB,hsd17b2,-0.882055869766166,-0.00060200316288877,-17.8307330789653,2.62078689295371e-66,1.06797065887864e-64,139.98819536203,Subexpresso,TRUE
LumB,cdk6,-0.879103358460954,0.0000848708487084863,-19.2382244063895,4.60308213750792e-76,4.50181433048275e-74,162.351706511528,Subexpresso,TRUE
LumB,npnt,0.878889910339126,-0.000692040063257776,18.4903654821447,8.16953119104146e-71,4.43877861379919e-69,150.317317608367,Superexpresso,TRUE
LumB,igf1r,0.862790627055827,-0.0000760147601476026,18.7488578976972,1.30151030544963e-72,7.95548174206086e-71,154.438635426266,Superexpresso,TRUE
LumB,acvrl1,-0.855450253911939,-0.00234818133895625,-17.6036656850615,8.75103282536702e-65,3.29173465508036e-63,136.496239677158,Subexpresso,TRUE
LumB,kit,-0.855071937232655,0.000919504480759093,-17.4381249630168,1.1060809637421e-63,3.86338279478491e-62,133.971387477415,Subexpresso,TRUE
LumB,bmpr1b,0.852168264612789,-0.00129114391143911,17.2933526349332,1.00226023364423e-62,3.06315783907516e-61,131.777883180714,Superexpresso,TRUE
Normal,nr2f1,1.04570403449326,0.00111133368476542,12.7780045912454,4.76087326457765e-36,3.88011171063079e-34,70.9638459016795,Superexpresso,TRUE
Normal,cdk1,-1.03931478636556,0.00170500790722193,-14.2430921953064,5.31314476825155e-44,2.59812779167501e-41,89.0956113638244,Subexpresso,TRUE
Normal,abcb1,1.02202336830796,0.000891829204006327,13.2746950697076,1.14322797943665e-38,1.86346160648174e-36,76.9342431463714,Superexpresso,TRUE
Normal,spry2,0.977549308801468,-0.000468160253031102,12.4198166059164,3.19613709830761e-34,1.95363880134053e-32,66.8011675258577,Superexpresso,TRUE
Normal,lama2,0.97567217445096,-0.00122503953610965,12.5200120198243,9.91771608970421e-35,6.92823309695051e-33,67.9589411422486,Superexpresso,TRUE
Normal,chek1,-0.966983207048484,0.0015516078017923,-13.8682648697869,6.69992582582545e-42,1.63813186441432e-39,84.3039802949763,Subexpresso,TRUE
Normal,adgra2,0.945715993172001,-0.0026934106483922,11.9918721842907,4.32536410006712e-32,2.3501144943698e-30,61.9468391054799,Superexpresso,TRUE
Normal,aurka,-0.938499197321911,0.0000494992092778091,-13.2116134702866,2.48150119671786e-38,3.03363521298759e-36,76.1669588898799,Subexpresso,TRUE
Normal,cdc25a,-0.938240725288741,-0.000103321033210332,-13.1408442632696,5.89822337014934e-38,5.76846245600605e-36,75.3098448299564,Subexpresso,TRUE
Normal,kit,0.92871753534248,0.000919504480759093,11.8819450844495,1.48998841119922e-31,7.2860433307642e-30,60.7237822627648,Superexpresso,TRUE
Normal,ccnb1,-0.90823232772551,-0.000489035318924617,-11.77403335097,4.96999737018757e-31,1.95248200699162e-29,59.5327149209291,Subexpresso,TRUE
Normal,e2f2,-0.855722762789674,-0.000510648392198207,-11.7701262019565,5.19064746234992e-31,1.95248200699162e-29,59.4897683057355,Subexpresso,TRUE
Normal,pik3r1,0.839404896703608,-0.00150479704797048,10.2560773054191,4.12732823485883e-24,1.26141469177873e-22,43.7964072275028,Superexpresso,TRUE
Normal,e2f7,-0.836482023649552,-0.000637374802319452,-10.7029393318067,4.61113274725042e-26,1.61060279528961e-24,48.2318428578214,Subexpresso,TRUE
Normal,fancd2,-0.807099380200907,0.000508170795993674,-10.694091317091,5.047963838655e-26,1.64563621140153e-24,48.1424837819035,Subexpresso,TRUE
claudin.low,folr2,1.57099522149893,-0.00136831839746969,23.5496752130874,6.03125495508027e-109,9.83094557678085e-107,237.769195021838,Superexpresso,TRUE
claudin.low,klrg1,1.55655310917734,-0.000292936215076435,23.5661611796407,4.43524052691834e-109,9.83094557678085e-107,238.07559549356,Superexpresso,TRUE
claudin.low,erbb3,-1.50813504013231,0.00135687928307855,-24.8115527247412,2.57812187978387e-119,1.26070159921431e-116,261.571018085541,Subexpresso,TRUE
claudin.low,rab25,-1.42141337010968,0.00161918819188192,-20.8277069424413,1.08952085947404e-87,1.33193925070701e-85,188.987631001764,Subexpresso,TRUE
claudin.low,csf1r,1.37010480305668,-0.00278481813389563,19.8697708719176,1.31314565918784e-80,1.28425645468571e-78,172.742707484434,Superexpresso,TRUE
claudin.low,tgfbr2,1.26782348576094,-0.0000255666842382718,18.8658428994058,1.97265260826774e-73,1.37803875063275e-71,156.281954067948,Superexpresso,TRUE
claudin.low,ccnd2,1.25748647818469,0.000199420137058512,18.515995103063,5.42927510575264e-71,3.3186444083913e-69,150.687192051902,Superexpresso,TRUE
claudin.low,acvrl1,1.19325014048757,-0.00234818133895625,17.8485736034123,1.98662879465814e-66,1.07940164509759e-64,140.223884636198,Superexpresso,TRUE
claudin.low,hsd17b11,1.18872526638241,0.000499420137058514,16.9116241865353,3.23117091974544e-60,1.58004257975552e-58,125.986227110094,Superexpresso,TRUE
claudin.low,rbpj,1.16890445209648,-0.000124037954665263,16.6156574777356,2.61356371759776e-58,1.16184787082301e-56,121.613891022624,Superexpresso,TRUE
claudin.low,jak2,1.16821797640596,0.00145872430152873,16.4232119969747,4.41713879253344e-57,1.79998405795738e-55,118.800159308229,Superexpresso,TRUE
claudin.low,nt5e,1.1269108078531,-0.000529994728518714,15.9639150015042,3.33872344386201e-54,1.1661684028918e-52,112.204994104325,Superexpresso,TRUE
claudin.low,ptpn22,1.12548913906481,0.00146895097522404,15.8165876117481,2.71629951878683e-53,8.85513643124507e-52,110.119362164377,Superexpresso,TRUE
claudin.low,foxo1,1.0901415176816,-0.000643384290985763,16.1147620534684,3.70719149092394e-55,1.39447433773985e-53,114.391501306808,Superexpresso,TRUE
claudin.low,fas,1.07957435621698,-0.0000353716394306821,15.1452050230156,3.16148907304994e-49,8.58871198178567e-48,100.806638996945,Superexpresso,TRUE
