gene,MeanDecreaseAccuracy,MeanDecreaseGini,posicao
gata3,15.6051383711542,33.7118374629437,1
aurka,14.7091146406207,30.1825806239052,2
egfr,18.2256337685419,29.7194501907996,3
cdk1,15.1413130724679,25.4812718402585,4
cdc25a,12.5431669542238,20.9584845477787,5
mapt,11.618448532922,20.4131919596439,6
chek1,11.5197736006851,18.3086317251416,7
igf1r,12.118431377098,16.7100201171687,8
bcl2,12.218421095978,16.4301498032081,9
e2f2,11.1562335738661,16.2906476555412,10
ccne1,10.816174868763,16.2478131548966,11
tgfbr2,14.6823552511655,14.089770227946,12
erbb3,12.1717977106007,14.0262980498166,13
ccnb1,12.0906086745835,13.9145461994848,14
e2f7,10.4989538489095,12.1490453458685,15
erbb2,13.387112297697,11.7991742261662,16
ar,9.61476234180003,11.5048468391836,17
fancd2,9.19037771072354,11.267818319919,18
mmp7,10.0189394050172,10.8089936087076,19
aph1b,7.85465338752868,10.5262217626095,20
lamb3,10.9165637809086,10.4953928321568,21
rad51,9.4906554046385,10.1298211259482,22
ttyh1,11.7167596328697,9.95086270348616,23
cdk6,8.81738546424275,9.93336580157765,24
folr2,12.3855396836437,9.7587462104121,25
csf1r,11.8118003393627,9.40658791668305,26
hsd17b2,9.90072126490077,9.32050025184716,27
notch1,8.99464431420136,8.79996029405198,28
kit,10.2627245229561,8.65998362360457,29
ccnd2,11.4859373446007,8.34669599703216,30
tgfb3,10.0056521767625,8.32743313472864,31
adgra2,8.17474576594138,7.94658683297078,32
npnt,7.64445100614786,7.94620507676165,33
abcb1,10.1095164360218,7.87196394185422,34
acvrl1,9.75219197645794,7.82771313018763,35
lama2,8.81686482259109,7.57177872739647,36
rab25,9.80203425506418,7.23754262736497,37
plagl1,10.165050508601,7.16509276150461,38
hsd17b4,8.61664401115734,6.8877249791037,39
e2f3,6.91055401659209,6.83461689325642,40
klrg1,9.34642434559556,6.818338623294,41
nr2f1,8.51406687884351,6.74257552945856,42
brca1,8.42030523358995,6.38101034208842,43
cdkn2a,6.31875298033484,6.36035922022736,44
folr1,8.29942762384653,6.288122493073,45
srd5a1,8.8564485954025,6.23678671966819,46
map2,6.95338928770675,6.19024225564449,47
frmd3,8.90451106377352,6.18853798071335,48
cyp21a2,6.69771653430254,6.15280408674729,49
lfng,8.85662150727434,6.11578253002215,50
cyb5a,8.46257375701951,6.04431812602739,51
