gene,chisq_zph,p_zph,pressuposto
gsk3b,18.996656371665,0.0000130947717674328,Violado
stat5a,0.282440212995594,0.595106257127373,Atendido
spry2,13.6133161629704,0.000224586829078304,Violado
igf1,0.129992574591634,0.718439737950751,Atendido
abcb1,0.0237015546059268,0.877646721519105,Atendido
aurka,70.974311903002,3.61906443693102e-17,Violado
lama2,4.4632983050545,0.0346305678876729,Violado
flt3,9.27033680154572,0.00232894872849038,Violado
stat5b,19.9855479475716,0.00000780296920892839,Violado
cdkn2c,0.783585084760093,0.376046931169485,Atendido
pdgfra,5.68652521628283,0.0170956733351567,Violado
rps6,3.58670435000981,0.0582436423778161,Atendido
ccnd2,0.0536803575680681,0.816778628826395,Atendido
bcl2,59.2642232738605,1.37860287549125e-14,Violado
vegfa,19.6259767793247,0.00000941799976790156,Violado
kit,5.81977692242639,0.0158469546752299,Violado
fancd2,42.4071383657283,7.41190270129947e-11,Violado
jak2,0.251875812119842,0.615757346655963,Atendido
e2f7,17.4107847712009,0.0000301112621760969,Violado
cir1,0.267244681073984,0.605186080815386,Atendido
