gene,n_modelo,eventos,HR_ajustado,IC95_inf,IC95_sup,valor_p,C_index_modelo,fdr
stat5a,1810,1037,0.867070571896341,0.811017835447592,0.92699734061179,0.0000287535311793489,0.667996731822986,0.000575070623586978
gsk3b,1810,1037,1.1325283589981,1.05829085466938,1.21197351207919,0.00032089991920982,0.668317332883367,0.00248845601115209
vegfa,1810,1037,1.12547568587507,1.0545311126715,1.20119312201893,0.000373268401672814,0.667254287262102,0.00248845601115209
bcl2,1810,1037,0.884559375421168,0.815623450056003,0.959321717137683,0.00304513293594121,0.66661752559924,0.015225664679706
cdkn2c,1810,1037,0.895995632410741,0.829974717815879,0.967268226448817,0.0049211676614362,0.667123737799842,0.0182991007906029
cir1,1810,1037,0.910967549293892,0.852940230976398,0.972942588153615,0.00548973023718088,0.667214323141002,0.0182991007906029
stat5b,1810,1037,0.912280910961503,0.853027661288558,0.975650026691478,0.00737499736004766,0.665766733865596,0.0210714210287076
igf1,1810,1037,0.909937602429125,0.843192675915534,0.981965882727151,0.0151748777009228,0.665693022264456,0.03758834630493
aurka,1810,1037,1.10661029450309,1.01736866634672,1.20368002712094,0.0182083207739451,0.66669834193302,0.03758834630493
flt3,1810,1037,0.92335715770045,0.863936984044413,0.98686415377817,0.018794173152465,0.665320023800854,0.03758834630493
jak2,1810,1037,0.930316500123686,0.869579687815726,0.995295546261416,0.0360062328647332,0.665854654932017,0.0654658779358785
rps6,1810,1037,0.940831672721055,0.883038907066111,1.00240683543158,0.0593432183118984,0.664962122894113,0.098905363853164
e2f7,1810,1037,1.0662130010923,0.992976643994601,1.14485085885306,0.0774226628041095,0.665413273416755,0.113694840868486
ccnd2,1810,1037,0.937512483409743,0.87226265630005,1.0076433402266,0.0795863886079403,0.665917709434197,0.113694840868486
spry2,1810,1037,0.937599403002671,0.869495621224787,1.01103745556839,0.0940006307511531,0.665128196019574,0.125334174334871
fancd2,1810,1037,1.06052052690249,0.983008079812398,1.14414500865159,0.129166107826303,0.665617534480156,0.161457634782879
abcb1,1810,1037,0.949156831793611,0.878242018696061,1.02579775524526,0.187813313714399,0.665392847310415,0.220956839663999
pdgfra,1810,1037,0.961023523585296,0.895457819016665,1.0313899697682,0.270156497486328,0.664739211907532,0.300173886095919
lama2,1810,1037,0.972403402583022,0.901629017397162,1.04873330284414,0.467947391770368,0.664656619390592,0.492576201863546
kit,1810,1037,0.982627853281312,0.910826477186293,1.06008940476458,0.650783724167063,0.664859992362413,0.650783724167063
