subtipo,gene,n,eventos,HR,valor_p,fdr
LumA,gsk3b,679,364,1.27328684660558,0.000026646003806894,0.000213168030455152
LumA,stat5a,679,364,0.756623552793684,0.00000542228686687478,0.0000557720934878549
LumA,spry2,679,364,0.692097889510215,0.0000000113490204971863,0.000000408564737898707
LumA,igf1,679,364,0.727499305913767,0.00000104290110543776,0.000023174980302204
LumA,abcb1,679,364,0.740911609024007,0.00000530612442963475,0.0000557720934878549
LumA,aurka,679,364,1.22030067040749,0.00994905569940475,0.039796222797619
LumA,lama2,679,364,0.778848519693827,0.00000374958811783816,0.0000539940688968695
LumA,flt3,679,364,0.869636128252428,0.00694633867723626,0.0312585240475632
LumA,stat5b,679,364,0.854128909451834,0.0137734859378442,0.0495845493762391
LumA,cdkn2c,679,364,0.746382514009616,0.0000111983959135719,0.000100785563222147
LumA,pdgfra,679,364,0.695435794926341,5.42893324619837e-11,0.00000000390883193726282
LumA,rps6,679,364,0.782069825775905,0.000001287498905678,0.000023174980302204
LumB,gsk3b,461,303,1.30385634811231,0.0000517727106090326,0.000372763516385035
LumB,stat5a,461,303,0.829412379008409,0.00330350838026834,0.0169894716699514
LumB,spry2,461,303,0.867097340504019,0.0857823853298785,0.194252986339377
LumB,igf1,461,303,0.80718307951717,0.0117836536184054,0.0446538452907993
LumB,abcb1,461,303,0.927463712501367,0.419548145973274,0.604149330201514
LumB,aurka,461,303,1.08771411941389,0.249647362230952,0.399435779569523
LumB,lama2,461,303,0.952333574656953,0.567440275064699,0.71676666323962
LumB,flt3,461,303,0.797703858650309,0.000176558420426482,0.00115565511551879
LumB,stat5b,461,303,0.932100093711043,0.16258218747879,0.300151730730074
LumB,cdkn2c,461,303,0.857010122348697,0.0696361407573943,0.185444214320695
LumB,pdgfra,461,303,1.00295825704705,0.960667452206265,0.971077327056821
LumB,rps6,461,303,0.904494845375119,0.0746928085458353,0.185444214320695
Her2,gsk3b,220,155,0.891317722230892,0.156716477112181,0.296936482949395
Her2,stat5a,220,155,0.950609496577643,0.538694512670768,0.692607230576702
Her2,spry2,220,155,1.04711112363932,0.710116277025298,0.838170031898712
Her2,igf1,220,155,1.09305130258104,0.453846679029195,0.640724723335334
Her2,abcb1,220,155,0.98732798367279,0.904165040584229,0.943476564087891
Her2,aurka,220,155,1.10843985234208,0.321278814185239,0.502871187420375
Her2,lama2,220,155,1.20654346087158,0.101871726145132,0.222265584316651
Her2,flt3,220,155,0.930860841004359,0.399829768690801,0.599744653036201
Her2,stat5b,220,155,0.864757568068935,0.132511945954333,0.265023891908666
Her2,cdkn2c,220,155,0.912121339028036,0.48878300301848,0.676776465717895
Her2,pdgfra,220,155,1.12069045007464,0.23928419325538,0.391555952599712
Her2,rps6,220,155,1.02647469110096,0.743077662687761,0.838626419607172
Basal,gsk3b,199,111,1.12118577441958,0.229458685227489,0.384209891543703
Basal,stat5a,199,111,0.978603053725314,0.793959694464849,0.845579061017651
Basal,spry2,199,111,1.05128233881029,0.601527684334842,0.746724021932907
Basal,igf1,199,111,0.955108728878868,0.775737550643595,0.845579061017651
Basal,abcb1,199,111,0.90614612371498,0.418473171911543,0.604149330201514
Basal,aurka,199,111,0.9623829178903,0.745445706317486,0.838626419607172
Basal,lama2,199,111,1.08242159026075,0.525542405967976,0.692607230576702
Basal,flt3,199,111,0.685584701096852,0.0826092365239341,0.194252986339377
Basal,stat5b,199,111,0.996105044108234,0.971077327056821,0.971077327056821
Basal,cdkn2c,199,111,0.965218432852841,0.735302205861992,0.838626419607172
Basal,pdgfra,199,111,0.994417593368194,0.96293091492359,0.971077327056821
Basal,rps6,199,111,1.02522486293321,0.762760865042115,0.844904342815882
claudin-low,gsk3b,198,89,1.27336487809326,0.0309828595616469,0.0969898212364597
claudin-low,stat5a,198,89,0.790633770119172,0.0329959634665866,0.0989878903997599
claudin-low,spry2,198,89,0.83780497875819,0.0863346605952786,0.194252986339377
claudin-low,igf1,198,89,0.961217935492225,0.621588437823059,0.758548602089156
claudin-low,abcb1,198,89,0.869911967597746,0.171188160267484,0.306509441071859
claudin-low,aurka,198,89,1.06479795535759,0.529809732757215,0.692607230576702
claudin-low,lama2,198,89,0.976015816572124,0.79860244651667,0.845579061017651
claudin-low,flt3,198,89,0.938045287438886,0.675767427592009,0.81092091311041
claudin-low,stat5b,198,89,0.804859342269733,0.0591195664153745,0.163715722381037
claudin-low,cdkn2c,198,89,0.944645094985953,0.528875014826474,0.692607230576702
claudin-low,pdgfra,198,89,0.839074348521057,0.141371590830933,0.275101474049383
claudin-low,rps6,198,89,0.790642989176943,0.0308286349363747,0.0969898212364597
Normal,gsk3b,140,76,1.38831489872025,0.00140619711058695,0.00778816861248156
Normal,stat5a,140,76,0.730187925196809,0.0177203559536425,0.0607555061267744
Normal,spry2,140,76,0.846081745804996,0.107595134670151,0.227848520477967
Normal,igf1,140,76,0.870155274720355,0.174540098388142,0.306509441071859
Normal,abcb1,140,76,0.918266166942553,0.390999421953916,0.59897783788685
Normal,aurka,140,76,1.83457880225467,0.000579900092427202,0.00347940055456321
Normal,lama2,140,76,0.799084466582154,0.0384241479782938,0.110661546177486
Normal,flt3,140,76,0.64761745941027,0.00804252597169865,0.034062462938959
Normal,stat5b,140,76,0.673624824692281,0.00474929174191666,0.0227966003612
Normal,cdkn2c,140,76,0.876400924000089,0.220854088536991,0.378607008920556
Normal,pdgfra,140,76,0.818929616225977,0.0722693848511351,0.185444214320695
Normal,rps6,140,76,0.821257953598291,0.115001222376278,0.236573943174057
