gene,freq_global_perc,LumA,LumB,Her2,Basal,claudin.low,Normal,valor_p,fdr
pik3ca,41.8,57.4,34.9,41.4,16.1,24.2,50,0.0000499975001249938,0.000507117501267794
tp53,34.7,11.9,24.3,70,88.4,52,22.9,0.0000499975001249938,0.000507117501267794
muc16,17.2,16.6,16.1,27.3,23.1,9.6,10,0.0000499975001249938,0.000507117501267794
gata3,12.1,19.6,13.9,7.7,0,2,8.6,0.0000499975001249938,0.000507117501267794
map3k1,10.3,16.2,8.7,6.8,4.5,4,10,0.0000499975001249938,0.000507117501267794
cdh1,9.1,12.7,9.8,5,2,4,12.9,0.0000499975001249938,0.000507117501267794
cbfb,4.8,8.4,3.7,0.9,0.5,2.5,6.4,0.0000499975001249938,0.000507117501267794
syne1,12.2,9.4,11.9,17.3,20.6,11.6,7.9,0.000249987500624969,0.0022186390680466
dnah11,9.2,6.5,11.5,13.6,14.1,5.6,6.4,0.000299985000749963,0.0023665483392497
rb1,2.6,1.5,2.4,3.2,7,3.5,0,0.000599970001499925,0.00419524478321538
akap9,6.1,4.1,7.6,7.7,12.1,3,4.3,0.000649967501624919,0.00419524478321538
kmt2c,12.2,15.6,11.3,14.5,7.5,8.1,7.9,0.00264986750662467,0.0152915431151519
ahnak,9.1,9.1,6.7,13.6,14.6,6.6,5.7,0.00279986000699965,0.0152915431151519
thsd7a,2.7,2.8,1.7,4.5,5.5,0,2.1,0.00304984750762462,0.0154670837886677
ush2a,7.3,5.2,6.3,10.9,12.1,6.6,10,0.00419979001049947,0.0198790060496975
pik3r1,2.4,2.1,1.7,4.5,4.5,0,2.9,0.00669966501674916,0.0297297635118244
afdn,2.6,3.1,1.7,5,4,0.5,0.7,0.0136493175341233,0.0570059732307502
tbx3,5.3,7.2,4.8,5,1.5,3.5,6.4,0.0207989600519974,0.0820403424273231
ctcf,2.2,3.5,2.2,0.9,0,2,1.4,0.0228988550572471,0.0855694057402393
col22a1,4.2,4.7,2.8,5.9,2.5,2.5,8.6,0.024148792560372,0.0857282135893205
asxl1,2.2,1.8,2.2,5,0.5,1.5,3.6,0.0335983200839958,0.113594320283986
ros1,3.2,2.5,3.5,4.1,5.5,3.5,0,0.0388980550972451,0.125534632359291
col12a1,4.3,3.1,4.3,7.7,6,2.5,4.3,0.0485475726213689,0.149864245918139
map2k4,3.4,5,3,3.2,1,1.5,2.9,0.0511974401279936,0.151459093711981
taf1,2.1,1.2,2.4,4.5,2.5,2.5,0.7,0.0547472626368682,0.155482225888706
fanca,2.4,1.8,3,3.6,4,1.5,0,0.0584970751462427,0.159742012899355
erbb2,3.1,2.9,2.2,5,3.5,1,5.7,0.0620968951552422,0.16329183540823
birc6,5.6,4.9,6.1,9.5,5.5,5.6,2.1,0.0743962801859907,0.182265024679801
stab2,4,3.1,3.3,6.8,6,2.5,5,0.0744462776861157,0.182265024679801
ctnna3,2,1.8,1.5,5,1.5,1,2.1,0.0781460926953652,0.184945752712364
lamb3,3.1,1.9,4.1,5.5,2,3,3.6,0.0810959452027399,0.185735874496598
ncor1,4,4.4,4.3,5.9,2.5,1,4.3,0.0977951102444878,0.20620292514786
akt1,4,5.4,4.1,4.1,1.5,2,2.9,0.0981950902454877,0.20620292514786
runx1,3.6,4.7,2.4,5.5,3,1.5,2.9,0.0987450627468627,0.20620292514786
pde4dip,6.2,5.6,4.3,7.7,9,8.6,5.7,0.106694665266737,0.216437749541094
nf1,3.6,2.8,3.7,7.3,3,3,2.9,0.113744312784361,0.224329061324712
myo1a,2.4,1.3,3.3,3.6,3.5,2,2.1,0.147842607869607,0.283238469655465
arid1a,5,4.4,7.4,5.5,3.5,3,4.3,0.151592420378981,0.283238469655465
sf3b1,3.1,4.4,3,2.3,1,2,2.1,0.159042047897605,0.288488014623659
fancd2,2.2,1.3,2.6,3.6,3,1,2.9,0.16399180040998,0.288488014623659
alk,2.4,2.8,1.3,4.1,3,2,0.7,0.166591670416479,0.288488014623659
dnah2,7.8,6.9,8.5,9.1,11.1,4.5,7.9,0.184190790460477,0.311370145778425
ncor2,4.7,4.7,4.1,6.8,4.5,6.1,1.4,0.208239588020599,0.343837459289826
notch1,5,5.2,4.6,4.5,8.5,3.5,2.9,0.216289185540723,0.349012094849803
herc2,6.7,6.3,6.5,10,8,5.6,3.6,0.223238838058097,0.352221277824998
myh9,3.7,4,3,5,4.5,4.5,0.7,0.235088245587721,0.362853596450612
myo3a,2.4,1.6,3,3.2,3.5,1,2.9,0.243937803109845,0.368501787676574
dnah5,7,6.9,5.6,9.5,9.5,6.1,5,0.265136743162842,0.392181432595037
setd1a,2.8,2.4,2.8,4.5,3.5,1,3.6,0.271586420678966,0.393523180983808
kmt2d,7.4,8,5.9,9.5,9.5,5.6,5.7,0.289285535723214,0.403983722382508
ahnak2,16.3,15.3,14.1,20.5,18.6,17.2,17.9,0.290185490725464,0.403983722382508
shank2,3,2.7,2.4,4.1,4.5,1.5,4.3,0.303984800759962,0.41505617026841
asxl2,2.4,2.9,2,2.3,3.5,0.5,2.1,0.32078396080196,0.42972945692338
lama2,5,5,4.6,4.5,8.5,4,3.6,0.341232938353082,0.448658122649423
erbb3,2.6,2.7,2.8,3.2,3.5,0.5,2.9,0.36133193340333,0.464456241473641
usp9x,2.8,2.2,3.5,4.1,4,1.5,2.1,0.366331683415829,0.464456241473641
ep300,2.8,2.2,3.5,4.5,3,2,1.4,0.377731113444328,0.465577583189806
utrn,5.3,4.4,6.7,6.8,4,5.6,3.6,0.380330983450827,0.465577583189806
atr,4.1,2.9,4.3,5.5,5.5,4.5,3.6,0.400729963501825,0.475794543606153
pten,4.1,3.8,4.1,3.2,6.5,5.1,2.1,0.4020798960052,0.475794543606153
ryr2,7.1,6.6,7.6,8.2,9,4,7.1,0.415329233538323,0.48341599313477
col6a3,5.1,4.7,5.6,7.3,4.5,3,5.7,0.467826608669567,0.535736922831278
arid1b,3.1,4.1,2.2,3.2,3,2,2.9,0.526873656317184,0.593778247595557
tg,6,6,6.7,5,7,3.5,7.1,0.577121143942803,0.640243769061547
ubr5,2.4,2.2,2.8,3.6,2.5,2,0.7,0.608569571521424,0.661288905251707
setd2,2.8,2.4,3,4.5,3,2,2.1,0.614719264036798,0.661288905251707
thada,4.1,4.3,3.7,4.5,5.5,2.5,3.6,0.744412779361032,0.78288799845722
ptprd,2.8,2.8,2.2,4.1,3,2.5,3.6,0.75741212939353,0.78288799845722
apc,2.3,2.1,2.4,2.7,3.5,1.5,1.4,0.766911654417279,0.78288799845722
kdm6a,2.1,2.4,1.5,3.2,2,1.5,2.1,0.771861406929654,0.78288799845722
adgra2,2.4,2.5,2.8,2.7,2,1,2.9,0.788610569471526,0.788610569471526
