subtipo,gene,diff_z,fdr_subtipo,HR_OS,IC95_inf,IC95_sup,fdr_OS,direcao_subtipo,direcao_risco,coerencia,escore_prioridade,posicao_RF,coef_LASSO
Basal,aurka,1.10688000296524,1.0887380406936e-66,1.19059639798958,1.12337575901865,1.26183939036042,0.000000260518764645943,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,1.27140174052531,2,0.024429104247341
Basal,igf1,-0.602767583490937,2.57041010043726e-16,0.80409353565481,0.750004336735238,0.862083567271557,0.000000102898015516973,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.918360133835176,96,
Basal,lama2,-0.714652262017094,5.50364251325423e-25,0.836019289234385,0.78757278023376,0.887445921841682,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.842751457149824,36,
Basal,fancd2,1.10845806990677,7.11699183798231e-60,1.16278654745772,1.09619884514148,1.23341906529206,0.0000154413112540379,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.804340830263559,18,
Basal,bcl2,-0.916568626122219,3.25564393260991e-46,0.848651657435112,0.798322775155193,0.902153437282751,0.00000500111289918467,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.797339070764697,9,-0.0233829477224504
Basal,abcb1,-0.574425585030159,3.95154369268863e-17,0.821682435024062,0.770195100398744,0.876611684075279,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.742811389220275,34,-0.00546018561644415
Basal,vegfa,0.860493108475283,1.90685048256647e-31,1.16458886853576,1.09984047363737,1.23314904772689,0.00000581283519367319,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.686450088527055,115,0.0300249821148067
Basal,flt3,-0.524139263261108,9.94243573593052e-12,0.819832928570812,0.767249768035087,0.876019855294706,0.000000260518764645943,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.685560822221585,138,-0.0843940857789602
Basal,e2f7,0.97438726278261,3.31156661571614e-44,1.1478474004887,1.08443478151925,1.21496808960961,0.0000509308374943492,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,0.576795736943173,15,0.0111948703000741
Basal,stat5b,-0.514478825367499,2.7345776617876e-12,0.838352623752956,0.789452827075509,0.890281341264032,0.00000048458950633754,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.572806625355439,78,
Her2,gsk3b,1.03718825801985,2.40370201795728e-49,1.2248866488133,1.1587775593845,1.29476730912706,0.000000000378283695357096,Superexpresso,Maior risco de óbito,Marcador de pior prognóstico no subtipo,1.98235069564419,103,0.0754372998484112
Her2,spry2,-0.605749002886842,4.77054124235081e-19,0.809747801858581,0.759021403005426,0.863864312677512,0.0000000264216737641463,Subexpresso,Menor risco de óbito,Marcador de pior prognóstico no subtipo,0.96872117674331,55,-0.006354772831943
