repeticao,n_genes,C_gene,C_clinico,C_combinado
1,4,0.584285512766258,0.645343367826905,0.649116001202588
2,4,0.584134551243852,0.657889811558655,0.661987647389107
3,16,0.589370422043948,0.654005003188306,0.651748663363908
4,0,0.5,0.651254347231449,0.651254347231449
5,1,0.548770257728279,0.654750351547801,0.650729833039552
6,9,0.576233301318432,0.661674231453314,0.651984177122919
7,4,0.589542631478228,0.626661255960231,0.636400527543878
8,0,0.5,0.633786323414141,0.633786323414141
9,0,0.5,0.67544591583308,0.67544591583308
10,2,0.555832306441887,0.639962208853926,0.633628335647077
11,2,0.569709974145664,0.641803697174619,0.641697733337187
12,2,0.56451030648713,0.6425682759998,0.646492585750662
13,4,0.56959706959707,0.645856925299699,0.641210121441681
14,0,0.5,0.662866606327871,0.662866606327871
15,3,0.577602461932546,0.689016755112993,0.690586925844215
16,2,0.520949732768552,0.661692706809449,0.649306571478729
17,0,0.5,0.658154592884443,0.658154592884443
18,2,0.56499257577081,0.652220044926636,0.65467667160541
19,3,0.568985609605368,0.657847452631979,0.667392358371282
20,0,0.5,0.648097839316839,0.648097839316839
21,5,0.572314068040335,0.657034057058625,0.662940556255054
22,6,0.566549935490666,0.67164018577365,0.669313126374969
23,10,0.611063108997117,0.659231094212083,0.663906492043374
24,3,0.56884250507444,0.655828167961602,0.655282091568389
25,2,0.589107564337671,0.677770753294753,0.680941496863298
