gene,vezes_selecionado,freq_selecao_perc,HR,fdr
gsk3b,18,72,1.2248866488133,0.000000000378283695357096
stat5a,15,60,0.80712018362192,0.00000000168588703897088
flt3,8,32,0.819832928570812,0.000000260518764645943
spry2,8,32,0.809747801858581,0.0000000264216737641463
stat5b,3,12,0.838352623752956,0.00000048458950633754
aurka,3,12,1.19059639798958,0.000000260518764645943
vegfa,3,12,1.16458886853576,0.00000581283519367319
abcb1,3,12,0.821682435024062,0.000000260518764645943
lamb3,3,12,0.872326528490745,0.000260437933066788
bcl2,2,8,0.848651657435112,0.00000500111289918467
igf1,2,8,0.80409353565481,0.000000102898015516973
mmp25,2,8,0.887704652281163,0.00206052702244643
ccnd2,1,4,0.845948426489695,0.00000227316914527909
ep300,1,4,1.09812067368615,0.00754505224677868
casp10,1,4,1.05677867252335,0.180906217008694
kras,1,4,1.15301206843197,0.0000627266663571727
mapk9,1,4,1.08200989784332,0.0360617172380762
nfkb1,1,4,0.886527389402915,0.000719015371730211
pdgfra,1,4,0.843659709865771,0.000000620241181650398
pdpk1,1,4,1.12400217072887,0.00123079932712847
runx1,1,4,0.920615389963304,0.0224923353216767
akap9,1,4,0.903599190466312,0.00428283799210492
ctcf,1,4,1.13237918027978,0.000501206068485577
dnah11,1,4,1.09571149825314,0.0024455382659954
lama2,1,4,0.836019289234385,0.000000260518764645943
cdkn2c,1,4,0.81506424673563,0.000000499959863954217
brca1,0,0,1.05432880818543,0.175822630266247
brca2,0,0,0.994824301181856,0.918449338354895
palb2,0,0,1.05705570268757,0.168698539155665
pten,0,0,0.895461544429001,0.00261141749307362
tp53,0,0,0.978963836459732,0.64593530788255
atm,0,0,0.961689105307854,0.359692845790858
cdh1,0,0,1.02809644168716,0.558184913706999
chek2,0,0,0.998498479058384,0.971934350756058
nbn,0,0,0.993504257158046,0.900968553108042
nf1,0,0,1.05070509613462,0.236034360284011
stk11,0,0,1.02195415540831,0.635969255858227
bard1,0,0,1.09510438529698,0.0142205995946616
mlh1,0,0,0.988542544576942,0.798217494177315
msh2,0,0,0.967324634110118,0.493183406670937
msh6,0,0,1.05489969497644,0.1930191498541
pms2,0,0,0.915319899539021,0.0147714898524465
epcam,0,0,0.987682363406322,0.798217494177315
rad51c,0,0,1.01046761982835,0.823916590312526
rad51d,0,0,0.989928762653302,0.839449940750974
rad50,0,0,1.04748269398354,0.271935239315823
rb1,0,0,1.01184682480612,0.799322323156364
rbl1,0,0,1.09259656641107,0.0154184554458111
rbl2,0,0,1.00320693917492,0.947719054902131
ccna1,0,0,0.993987448738279,0.918449338354895
ccnb1,0,0,1.12777384252724,0.000719015371730211
cdk1,0,0,1.10366061104452,0.00616509847534487
ccne1,0,0,1.09132319909041,0.0169289641313711
cdk2,0,0,1.11901509635687,0.00190000646300885
cdc25a,0,0,1.09749418000599,0.00731791565049606
ccnd1,0,0,1.02472374891356,0.600270704158287
cdk4,0,0,1.00528511416221,0.918449338354895
cdk6,0,0,0.998108653754119,0.9692456396914
cdkn2a,0,0,0.951881383563209,0.271935239315823
cdkn2b,0,0,0.969593698059504,0.509684583219822
myc,0,0,0.950049664056136,0.220312933989039
cdkn1a,0,0,1.04893696427187,0.269176538039722
cdkn1b,0,0,0.905158475706027,0.00618963418889861
e2f1,0,0,1.01069622930084,0.822713486987813
e2f2,0,0,1.12186372193316,0.00102323057293891
e2f3,0,0,1.05052153863882,0.23309677368858
e2f4,0,0,1.06075109228045,0.143265081450257
e2f5,0,0,1.02493699415248,0.601574320928397
e2f6,0,0,0.961079196640149,0.347919585625451
e2f7,0,0,1.1478474004887,0.0000509308374943492
e2f8,0,0,1.08574974359495,0.0301831567144832
src,0,0,1.08504398398678,0.0293123694006329
jak1,0,0,0.930411831233698,0.0403559299200686
jak2,0,0,0.858787331360974,0.0000321862534920601
stat1,0,0,1.05100611846404,0.220312933989039
stat2,0,0,1.05226225711427,0.210362423133267
